subject_nr,frage,yes,no,time_form,time_delay
45,schrei_beenden_positiv,yes,no,2476792,2480541
45,musik_beenden_negativ,yes,no,2482541,2486726
45,kopfhoerer_abgesetzt,no,yes,2488726,2495438
