subject_nr,color_counter,target_color,target_role,target_1,target_2,target_3,target_4,eval_rating, trial_nr,time_rate_form,time_rate_delay
77,ES_yellow,yellow,ending_scream,IAT_yellow4.bmp,IAT_yellow3.bmp,IAT_yellow1.bmp,IAT_yellow2.bmp,6,0,2555757,2576830
77,ES_yellow,purple,ending_melody,IAT_purple2.bmp,IAT_purple1.bmp,IAT_purple3.bmp,IAT_purple4.bmp,1,1,2579110,2582362
77,ES_yellow,green,starting_scream,IAT_green2.bmp,IAT_green1.bmp,IAT_green3.bmp,IAT_green4.bmp,0,2,2584642,2590840
77,ES_yellow,red,starting_melody,IAT_red2.bmp,IAT_red3.bmp,IAT_red4.bmp,IAT_red1.bmp,8,3,2593119,2594835
