subject_nr,frage,yes,no,time_form,time_delay
103,schrei_beenden_positiv,yes,no,2727516,2732932
103,musik_beenden_negativ,no,yes,2734932,2740988
103,kopfhoerer_abgesetzt,no,yes,2742988,2747426
