subject_nr,frage,yes,no,time_form,time_delay
109,schrei_beenden_positiv,yes,no,2398367,2401845
109,musik_beenden_negativ,no,yes,2403846,2406833
109,kopfhoerer_abgesetzt,no,yes,2408833,2411807
