subject_nr,frage,yes,no,time_form,time_delay
2,schrei_beenden_positiv,yes,no,2671511,2675828
2,musik_beenden_negativ,yes,no,2677830,2679678
2,kopfhoerer_abgesetzt,no,yes,2681679,2685559
