subject_nr,frage,yes,no,time_form,time_delay
77,schrei_beenden_positiv,yes,no,2637440,2642224
77,musik_beenden_negativ,yes,no,2644224,2650016
77,kopfhoerer_abgesetzt,no,yes,2652016,2657492
