subject_nr,block,trialnr,trial_target,trial_prime,prime_color,prime_role,prime_us,prime_relation,correct_response,target_valence,prime_valence,color_counter,correct_first_response,response_first_response,response_time_first_response,fixation_show,prime_show,target_show
48,first,45,lästig,IAT_red3.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,615,1550209,1550714,1550918
48,first,46,kaputt,IAT_red2.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,437,1552609,1553113,1553318
48,first,47,lästig,IAT_yellow4.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,670,1554829,1555334,1555538
48,first,48,einsam,IAT_purple4.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,548,1557282,1557787,1557992
48,first,49,sozial,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,517,1559613,1560118,1560322
48,first,50,sonnig,IAT_red1.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,468,1561913,1562417,1562621
48,first,51,morsch,IAT_green1.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,451,1564162,1564667,1564871
48,first,52,kaputt,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,392,1566396,1566900,1567104
48,first,53,witzig,IAT_purple3.bmp,purple,starting_scream,scream,starting,m,positive,negative,ES_green,1,m,489,1568570,1569074,1569278
48,first,54,gerecht,IAT_red2.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,541,1570842,1571346,1571550
48,first,55,einsam,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,466,1573166,1573671,1573875
48,first,56,munter,IAT_red1.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,0,c,547,1575416,1575920,1576125
48,first,57,witzig,IAT_green2.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,554,1578245,1578750,1578954
48,first,58,krank,IAT_purple2.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,456,1580583,1581088,1581292
48,first,59,brutal,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,425,1582823,1583328,1583532
48,first,60,gesund,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,456,1585031,1585535,1585739
48,first,61,lustig,IAT_yellow1.bmp,yellow,starting_melody,melody,starting,m,positive,positive,ES_green,1,m,406,1587270,1587774,1587978
48,first,62,sanft,IAT_yellow2.bmp,yellow,starting_melody,melody,starting,m,positive,positive,ES_green,1,m,460,1589460,1589964,1590168
48,first,63,geizig,IAT_yellow4.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,511,1591703,1592207,1592412
48,first,64,krank,IAT_yellow2.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,866,1593997,1594502,1594706
48,first,65,human,IAT_red1.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,473,1596646,1597151,1597356
48,first,66,falsch,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,604,1598904,1599408,1599612
48,first,67,lästig,IAT_green2.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,0,m,493,1601290,1601794,1601998
48,first,68,ehrlich,IAT_red4.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,554,1604066,1604570,1604775
