subject_nr,frage,yes,no,time_form,time_delay
68,schrei_beenden_positiv,yes,no,2484571,2488576
68,musik_beenden_negativ,yes,no,2490576,2493424
68,kopfhoerer_abgesetzt,no,yes,2495425,2498991
