subject_nr,frage,yes,no,time_form,time_delay
101,schrei_beenden_positiv,yes,no,2557075,2561013
101,musik_beenden_negativ,no,yes,2563013,2570364
101,kopfhoerer_abgesetzt,no,yes,2572364,2577237
