subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn;option_up;option_down;practice;motivation; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;frame_dur
4;1;6;1;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;down;0.7887355000002572;0.789874800000689;9291.3379559;2.7999994927085936e-06;0.5020299999996496;0.6221019000004162;0.6421169999994163;0.7121580999992148;0.8422276000001148;0.9723290000001725;0.01
4;1;6;2;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;down;0.05925489999935962;0.06031699999948614;9292.9699439;2.5000008463393897e-06;0.4957489999997051;0.6158102999997936;0.6358342000003177;0.7058465000009164;0.8359524000006786;0.9660478999994666;0.01
4;1;6;3;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;down;0.05253099999936239;0.05988009999964561;9294.5941104;2.3000011424301192e-06;0.5040116000000125;0.6240671000014117;0.6441037000004144;0.7141242000016064;0.8442205999999715;0.9743196000017633;0.01
4;1;6;4;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;up;2.3476737000000867;2.351749999999811;9298.5299478;2.200000380980782e-06;0.5043342000008124;0.6244179000004806;0.6444103000012547;0.7144255000002886;0.8445228000000498;0.9746148000012909;0.01
4;1;6;5;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_left.png;down;1.9049353999998857;1.9112617999999202;9302.0100764;2.4000000848900527e-06;0.5015357000011136;0.6216019000003143;0.6416234000007535;0.711653500000466;0.8417343000000983;0.971832600000198;0.01
4;1;6;6;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;down;0.32897440000124334;0.3310374000011507;9303.9059395;2.4000000848900527e-06;0.4992648999996163;0.619333300001017;0.6393614000007801;0.7093740000000253;0.839474300000802;0.9695541000000958;0.01
4;1;6;7;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_right.png;up;1.737136499999906;1.7403393000004144;9307.2259581;2.2999993234407157e-06;0.5017346000004181;0.6218064000004233;0.6418264000003546;0.7118683999997302;0.8419472000005044;0.972034899999926;0.01
4;1;6;8;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_right.png;up;0.03495499999917229;0.039869199999884586;9308.8259671;2.6999987312592566e-06;0.49481249999917054;0.6148877999985416;0.634920599999532;0.7049322999992;0.8350001999988308;0.9651115999986359;0.01
4;1;6;9;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter357;0.14;0.07;fullmask;0.2;arrow_right.png;down;1.6105160000006435;1.6115504000008514;9312.0019789;2.4000000848900527e-06;0.49775440000121307;0.617829000000711;0.6378420000000915;0.7078766000013275;0.8379593000008754;0.9680420000004233;0.01
4;1;6;10;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;up;1.7977420000006532;1.8008804000000964;9315.3619277;2.4000000848900527e-06;0.4965365000007296;0.6165830999998434;0.6366213999990578;0.7066262000007555;0.8367096000001766;0.966810699999769;0.01
4;1;6;11;letter181;letter357;letter181;letter357;1;0;congruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_left.png;up;1.8124013000015111;1.822022400001515;9318.7379228;2.4000000848900527e-06;0.4989819999991596;0.6190963999997621;0.6390670999990107;0.7091037999998662;0.8391765999986092;0.9692887999990489;0.01
4;1;6;12;letter181;letter357;letter181;letter357;1;0;incongruent;0.12;letter181;0.14;0.07;fullmask;0.2;arrow_right.png;up;0.027481799999804934;0.029931900000519818;9320.3459482;2.3000011424301192e-06;0.5021945999997115;0.6222880000004807;0.6422947999999451;0.7123267000006308;0.8424076000010245;0.972501000000193;0.01
4;1;7;1;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.6383318000007421;0.6405647000010504;9344.6419253;2.4000000848900527e-06;0.5003015000002051;0.5403206999999384;0.5503272000005381;0.6203533000007155;0.7504361000010249;0.8805535999999847;0.01
4;1;7;2;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.2467369999994844;0.24938250000013795;9346.5619099;2.4000000848900527e-06;0.49646469999970577;0.5364695999996911;0.5464830999990227;0.616510500000004;0.7466065999997227;0.8767079999997804;0.01
4;1;7;3;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_right.png;up;0.08589960000063002;0.08989500000097905;9348.3219173;2.399998265900649e-06;0.49833679999937885;0.5383406999990257;0.5483520999987377;0.6183747999984917;0.7484680999987177;0.8785787999986496;0.01
4;1;7;4;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter357;0.05;0.07;fullmask;0.2;arrow_left.png;down;0.4189003999999841;0.42090210000060324;9350.4261192;2.4000000848900527e-06;0.504868300000453;0.5448950999998488;0.5548894000003202;0.6249392999998236;0.7550085999992007;0.8851176000007399;0.01
4;1;7;5;letter181;letter357;letter181;letter357;0;0;incongruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_right.png;down;0.5493630999990273;0.5504545000003418;9352.4580106;2.499999027349986e-06;0.5044524999993882;0.5444711000000098;0.554470199998832;0.624511199999688;0.7545835999990231;0.8849527000002126;0.01
4;1;7;6;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;1.7425159000013082;1.7512139000009483;9355.8819755;2.2999993234407157e-06;0.5036798999990424;0.5437005999992834;0.5537066999986564;0.6237492999989627;0.753817999999228;0.883936399999584;0.01
4;1;7;7;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.23774080000112008;0.2404214000016509;9357.6099044;2.599999788799323e-06;0.5028063000008842;0.5428295000001526;0.5528199000000313;0.622863900000084;0.7529412000003504;0.8830429000008735;0.01
4;1;7;8;letter181;letter357;letter181;letter357;0;0;congruent;0.04;letter181;0.05;0.07;fullmask;0.2;arrow_left.png;up;0.045347100000071805;0.05003290000058769;9359.1379569;2.5000008463393897e-06;0.4980866000005335;0.5381045000012818;0.5481111000008241;0.6181452000000718;0.748230400000466;0.8783340999998472;0.01
