subjnr;loop_m;blocknr;trialnr;cue_left_learn;cue_right_learn; congruence;cue_dur;cue;SOA;mask_dur;mask;target_dur;target;RW_dur;response;RT;kb_rt;response_absolute; fix_onset;cue_onset;cue_offset;mask_onset;mask_offset;target_offset;blank_onset;response_during_mask;response_during_targetalone;response_during_RW;response_during_blank;frame_dur
2;1;1;1;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.3546095000056084;0.3600136000022758;255667.732664;2.5999906938523054e-06;0.4969383999996353;0.5369623999868054;0.5487771999905817;0.6185084999888204;0.8488968999881763;0.8489034000085667;0;0;0;1;0.01
2;1;1;2;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.2319668999989517;0.2402779000112787;255669.4606188;2.7999922167509794e-06;0.5030671999847982;0.5430886999820359;0.5543236999947112;0.625087699998403;0.7946003999968525;0.794602699985262;0;1;0;0;0.01
2;1;1;3;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.31476770000881515;0.3202125999960117;255671.2046122;2.900022082030773e-06;0.4950035000219941;0.5350048000109382;0.546391300013056;0.6162048000260256;0.8465924000192899;0.8465993000136223;0;0;0;1;0.01
2;1;1;4;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.20897340000374243;0.21045779998530634;255672.8606524;2.6999914553016424e-06;0.4950922999996692;0.535115999984555;0.5471793999895453;0.6169746000086889;0.7576400999969337;0.7576430999906734;0;1;0;0;0.01
2;1;1;5;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.3018566000100691;0.3101905999938026;255674.6046103;2.4999899324029684e-06;0.49582109999028035;0.5358574999845587;0.5479165999859106;0.6176941999874543;0.8480794999923091;0.8480867999896873;0;0;0;1;0.01
2;1;1;6;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.2974304000090342;0.3002159000025131;255676.3406044;2.6999914553016424e-06;0.49984089998179115;0.5398619000043254;0.5512445000058506;0.6210203999944497;0.8514615999883972;0.8514637000043876;0;1;0;0;0.01
2;1;1;7;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.3222154000250157;0.3301209000055678;255678.1166885;2.500019036233425e-06;0.4946790000249166;0.5346638000046369;0.5462514000246301;0.6160203000181355;0.8463986999995541;0.8464054000214674;0;0;0;1;0.01
2;1;1;8;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.2885189999942668;0.2893309999781195;255679.8446834;2.6999914553016424e-06;0.49511920000077225;0.5351295000000391;0.5472522999916691;0.6171024999930523;0.836577899986878;0.8365801000036299;0;1;0;0;0.01
2;1;1;9;letter181;letter357;congruent;0.04;letter357;0.05;0.07;fullmask;0.3;arrow_right.png;0;m;0.2775551000086125;0.28028590002213605;255681.5649195;2.3999891709536314e-06;0.5008754000009503;0.5408969999989495;0.55310940000345;0.6227862999949139;0.8333981999894604;0.8334049000113737;0;1;0;0;0.01
2;1;1;10;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;m;0.2621471000020392;0.2693505999923218;255683.2605531;2.5999906938523054e-06;0.49976810000953265;0.5395009999920148;0.5516576000081841;0.6215685000061058;0.821007999998983;0.8210102000157349;0;1;0;0;0.01
2;1;1;11;letter181;letter357;congruent;0.04;letter181;0.05;0.07;fullmask;0.3;arrow_left.png;0;c;0.3050999999977648;0.310145299998112;255685.204698;2.6999914553016424e-06;0.49741399998310953;0.5374205999833066;0.5495383999950718;0.6192659999942407;0.8496521999768447;0.8496589999995194;0;0;0;1;0.01
