ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
40	136	7.834000	02b.png	negative	153	1	methexp32	2017-07-27_13.05.18.657000
40	112	7.006000	43.png	negative	153	2	methexp32	2017-07-27_13.05.18.657000
40	44	4.728000	68b.png	negative	153	3	methexp32	2017-07-27_13.05.18.657000
40	16	3.186000	29.png	neutral	158	4	methexp32	2017-07-27_13.05.18.657000
40	192	2.557000	12b.png	negative	153	5	methexp32	2017-07-27_13.05.18.657000
40	196	3.016000	50.png	neutral	170	6	methexp32	2017-07-27_13.05.18.657000
40	97	2.418000	39b.png	positive	153	7	methexp32	2017-07-27_13.05.18.657000
40	36	2.587000	72b.png	positive	153	8	methexp32	2017-07-27_13.05.18.657000
40	83	2.605000	70b.png	positive	153	9	methexp32	2017-07-27_13.05.18.657000
40	5	2.368000	13b.png	positive	153	10	methexp32	2017-07-27_13.05.18.657000
40	13	2.667000	98b.png	negative	153	11	methexp32	2017-07-27_13.05.18.657000
40	26	2.306000	20b.png	positive	153	12	methexp32	2017-07-27_13.05.18.657000
40	3	2.467000	14b.png	positive	153	13	methexp32	2017-07-27_13.05.18.657000
40	155	2.055000	99.png	positive	153	14	methexp32	2017-07-27_13.05.18.657000
40	124	3.247000	67b.png	negative	153	15	methexp32	2017-07-27_13.05.18.657000
40	34	2.227000	16b.png	negative	153	16	methexp32	2017-07-27_13.05.18.657000
40	35	3.337000	77b.png	negative	153	17	methexp32	2017-07-27_13.05.18.657000
40	16	3.227000	81b.png	positive	153	18	methexp32	2017-07-27_13.05.18.657000
