ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
39	102	4.918000	20b.png	positive	153	1	methexp32	2017-07-25_15.42.30.982000
39	116	1.417000	50.png	neutral	170	2	methexp32	2017-07-25_15.42.30.982000
39	98	1.036000	39b.png	negative	153	3	methexp32	2017-07-25_15.42.30.982000
39	41	1.147000	16b.png	positive	153	4	methexp32	2017-07-25_15.42.30.982000
39	109	1.476000	43.png	positive	153	5	methexp32	2017-07-25_15.42.30.982000
39	69	1.137000	14b.png	negative	153	6	methexp32	2017-07-25_15.42.30.982000
39	149	1.077000	13b.png	negative	153	7	methexp32	2017-07-25_15.42.30.982000
39	107	1.055000	68b.png	negative	153	8	methexp32	2017-07-25_15.42.30.982000
39	169	1.166000	98b.png	negative	153	9	methexp32	2017-07-25_15.42.30.982000
39	195	2.125000	29.png	neutral	158	10	methexp32	2017-07-25_15.42.30.982000
39	152	1.826000	02b.png	positive	153	11	methexp32	2017-07-25_15.42.30.982000
39	41	1.877000	72b.png	positive	153	12	methexp32	2017-07-25_15.42.30.982000
39	101	1.566000	81b.png	negative	153	13	methexp32	2017-07-25_15.42.30.982000
39	133	1.456000	12b.png	positive	153	14	methexp32	2017-07-25_15.42.30.982000
39	117	1.517000	67b.png	negative	153	15	methexp32	2017-07-25_15.42.30.982000
39	79	1.716000	70b.png	positive	153	16	methexp32	2017-07-25_15.42.30.982000
39	152	1.506000	77b.png	positive	153	17	methexp32	2017-07-25_15.42.30.982000
39	101	1.586000	99.png	negative	153	18	methexp32	2017-07-25_15.42.30.982000
