ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
44	102	3.499000	67b.png	positive	153	1	methexp32	2017-07-28_09.50.26.548000
44	116	2.307000	39b.png	positive	153	2	methexp32	2017-07-28_09.50.26.548000
44	104	1.890000	16b.png	negative	153	3	methexp32	2017-07-28_09.50.26.548000
44	85	1.077000	14b.png	positive	153	4	methexp32	2017-07-28_09.50.26.548000
44	120	0.876000	70b.png	positive	153	5	methexp32	2017-07-28_09.50.26.548000
44	121	0.605000	99.png	negative	153	6	methexp32	2017-07-28_09.50.26.548000
44	130	1.077000	81b.png	positive	153	7	methexp32	2017-07-28_09.50.26.548000
44	120	1.055000	77b.png	positive	153	8	methexp32	2017-07-28_09.50.26.548000
44	128	1.056000	50.png	neutral	158	9	methexp32	2017-07-28_09.50.26.548000
44	121	1.096000	43.png	negative	153	10	methexp32	2017-07-28_09.50.26.548000
44	116	0.695000	29.png	neutral	170	11	methexp32	2017-07-28_09.50.26.548000
44	118	0.537000	13b.png	negative	153	12	methexp32	2017-07-28_09.50.26.548000
44	125	0.667000	12b.png	negative	153	13	methexp32	2017-07-28_09.50.26.548000
44	124	0.735000	02b.png	negative	153	14	methexp32	2017-07-28_09.50.26.548000
44	146	2.005000	68b.png	negative	153	15	methexp32	2017-07-28_09.50.26.548000
44	72	0.876000	20b.png	positive	153	16	methexp32	2017-07-28_09.50.26.548000
44	101	0.517000	72b.png	positive	153	17	methexp32	2017-07-28_09.50.26.548000
44	117	0.676000	98b.png	negative	153	18	methexp32	2017-07-28_09.50.26.548000
