ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
41	40	6.231000	77b.png	positive	153	1	methexp32	2017-07-27_15.15.01.543000
41	79	5.797000	72b.png	negative	153	2	methexp32	2017-07-27_15.15.01.543000
41	110	3.817000	68b.png	negative	153	3	methexp32	2017-07-27_15.15.01.543000
41	150	2.777000	12b.png	positive	153	4	methexp32	2017-07-27_15.15.01.543000
41	120	2.527000	50.png	neutral	170	5	methexp32	2017-07-27_15.15.01.543000
41	160	2.475000	20b.png	negative	153	6	methexp32	2017-07-27_15.15.01.543000
41	121	3.706000	13b.png	positive	153	7	methexp32	2017-07-27_15.15.01.543000
41	42	2.445000	43.png	positive	153	8	methexp32	2017-07-27_15.15.01.543000
41	40	2.287000	98b.png	positive	153	9	methexp32	2017-07-27_15.15.01.543000
41	50	2.275000	99.png	negative	153	10	methexp32	2017-07-27_15.15.01.543000
41	82	3.247000	67b.png	negative	153	11	methexp32	2017-07-27_15.15.01.543000
41	60	2.536000	02b.png	negative	153	12	methexp32	2017-07-27_15.15.01.543000
41	71	2.817000	16b.png	negative	153	13	methexp32	2017-07-27_15.15.01.543000
41	49	1.907000	81b.png	positive	153	14	methexp32	2017-07-27_15.15.01.543000
41	48	1.996000	39b.png	negative	153	15	methexp32	2017-07-27_15.15.01.543000
41	50	2.176000	70b.png	positive	153	16	methexp32	2017-07-27_15.15.01.543000
41	80	4.635000	14b.png	positive	153	17	methexp32	2017-07-27_15.15.01.543000
41	130	2.805000	29.png	neutral	158	18	methexp32	2017-07-27_15.15.01.543000
