ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
39	39b.png	n25.wav	153	65	90	270	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p21.wav	153	66	90	270	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p22.wav	153	67	270	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n50.wav	153	68	270	0	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu9.wav	170	69	0	90	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu10.wav	170	70	270	90	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n50.wav	153	71	270	0	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu8.wav	158	72	90	180	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n40.wav	153	73	0	90	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p91.wav	153	74	270	180	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p91.wav	153	75	180	90	67b.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p91.wav	153	76	90	270	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p52.wav	153	77	90	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p53.wav	153	78	90	0	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n30.wav	153	79	0	270	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n31.wav	153	80	270	90	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p22.wav	153	81	270	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p53.wav	153	82	180	270	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu2.wav	158	83	0	90	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n13.wav	153	84	180	270	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p22.wav	153	85	270	0	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu4.wav	158	86	90	270	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n14.wav	153	87	180	90	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p22.wav	153	88	270	180	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p22.wav	153	89	90	270	67b.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p22.wav	153	90	270	180	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n50.wav	153	91	90	0	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n13.wav	153	92	90	180	67b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p45.wav	153	93	270	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n14.wav	153	94	270	0	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p45.wav	153	95	0	180	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu7.wav	170	96	0	180	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n30.wav	153	97	0	180	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n30.wav	153	98	0	180	72b.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n31.wav	153	99	90	0	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n13.wav	153	100	90	180	98b.png	1	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p21.wav	153	101	0	270	20b.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n31.wav	153	102	270	90	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p73.wav	153	103	180	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p89.wav	153	104	90	270	77b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu3.wav	158	105	180	0	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p89.wav	153	106	180	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n50.wav	153	107	90	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p21.wav	153	108	0	270	72b.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p52.wav	153	109	270	0	77b.png	1	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p52.wav	153	110	0	270	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n11.wav	153	111	90	180	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p73.wav	153	112	90	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p52.wav	153	113	180	90	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n40.wav	153	114	270	0	72b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p21.wav	153	115	0	180	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p45.wav	153	116	90	180	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p89.wav	153	117	270	0	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p36.wav	153	118	180	90	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p21.wav	153	119	90	270	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n40.wav	153	120	90	180	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu7.wav	158	121	0	270	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p52.wav	153	122	270	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p52.wav	153	123	180	0	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n13.wav	153	124	270	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
