ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
34	38	3.557000	12b.png	positive	153	1	methexp32	2017-07-21_09.59.42.949000
34	83	2.507000	67b.png	negative	153	2	methexp32	2017-07-21_09.59.42.949000
34	114	1.866000	72b.png	negative	153	3	methexp32	2017-07-21_09.59.42.949000
34	69	3.716000	50.png	neutral	158	4	methexp32	2017-07-21_09.59.42.949000
34	92	3.075000	81b.png	positive	153	5	methexp32	2017-07-21_09.59.42.949000
34	7	2.176000	70b.png	positive	153	6	methexp32	2017-07-21_09.59.42.949000
34	14	2.637000	99.png	negative	153	7	methexp32	2017-07-21_09.59.42.949000
34	185	2.166000	20b.png	positive	153	8	methexp32	2017-07-21_09.59.42.949000
34	130	1.887000	13b.png	negative	153	9	methexp32	2017-07-21_09.59.42.949000
34	39	2.028000	43.png	negative	153	10	methexp32	2017-07-21_09.59.42.949000
34	70	2.367000	14b.png	positive	153	11	methexp32	2017-07-21_09.59.42.949000
34	151	2.256000	39b.png	positive	153	12	methexp32	2017-07-21_09.59.42.949000
34	189	2.297000	77b.png	positive	153	13	methexp32	2017-07-21_09.59.42.949000
34	108	1.896000	29.png	neutral	170	14	methexp32	2017-07-21_09.59.42.949000
34	85	1.506000	02b.png	negative	153	15	methexp32	2017-07-21_09.59.42.949000
34	132	2.337000	68b.png	negative	153	16	methexp32	2017-07-21_09.59.42.949000
34	101	2.127000	16b.png	positive	153	17	methexp32	2017-07-21_09.59.42.949000
34	104	1.996000	98b.png	negative	153	18	methexp32	2017-07-21_09.59.42.949000
