ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
33	143	6.026000	77b.png	negative	153	1	methexp32	2017-07-20_16.19.46.723000
33	155	4.227000	14b.png	positive	153	2	methexp32	2017-07-20_16.19.46.723000
33	134	2.218000	12b.png	negative	153	3	methexp32	2017-07-20_16.19.46.723000
33	190	3.997000	68b.png	negative	153	4	methexp32	2017-07-20_16.19.46.723000
33	73	1.726000	20b.png	positive	153	5	methexp32	2017-07-20_16.19.46.723000
33	94	1.886000	81b.png	negative	153	6	methexp32	2017-07-20_16.19.46.723000
33	97	1.477000	98b.png	positive	153	7	methexp32	2017-07-20_16.19.46.723000
33	97	1.846000	72b.png	negative	153	8	methexp32	2017-07-20_16.19.46.723000
33	188	1.925000	29.png	neutral	158	9	methexp32	2017-07-20_16.19.46.723000
33	104	1.537000	16b.png	positive	153	10	methexp32	2017-07-20_16.19.46.723000
33	142	3.445000	70b.png	positive	153	11	methexp32	2017-07-20_16.19.46.723000
33	99	1.655000	99.png	negative	153	12	methexp32	2017-07-20_16.19.46.723000
33	99	1.285000	02b.png	positive	153	13	methexp32	2017-07-20_16.19.46.723000
33	103	1.187000	67b.png	positive	153	14	methexp32	2017-07-20_16.19.46.723000
33	104	0.936000	43.png	negative	153	15	methexp32	2017-07-20_16.19.46.723000
33	104	1.217000	39b.png	negative	153	16	methexp32	2017-07-20_16.19.46.723000
33	103	1.287000	13b.png	positive	153	17	methexp32	2017-07-20_16.19.46.723000
33	170	2.716000	50.png	neutral	170	18	methexp32	2017-07-20_16.19.46.723000
