ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
37	169	6.005000	70b.png	positive	153	1	methexp32	2017-07-24_12.02.08.484000
37	97	2.356000	39b.png	negative	153	2	methexp32	2017-07-24_12.02.08.484000
37	173	4.116000	99.png	negative	153	3	methexp32	2017-07-24_12.02.08.484000
37	182	3.707000	68b.png	positive	153	4	methexp32	2017-07-24_12.02.08.484000
37	0	5.336000	81b.png	positive	153	5	methexp32	2017-07-24_12.02.08.484000
37	188	3.086000	50.png	neutral	158	6	methexp32	2017-07-24_12.02.08.484000
37	46	2.417000	16b.png	positive	153	7	methexp32	2017-07-24_12.02.08.484000
37	0	4.057000	13b.png	positive	153	8	methexp32	2017-07-24_12.02.08.484000
37	59	2.686000	43.png	positive	153	9	methexp32	2017-07-24_12.02.08.484000
37	171	3.476000	98b.png	positive	153	10	methexp32	2017-07-24_12.02.08.484000
37	136	2.656000	20b.png	negative	153	11	methexp32	2017-07-24_12.02.08.484000
37	181	2.676000	72b.png	positive	153	12	methexp32	2017-07-24_12.02.08.484000
37	45	2.696000	14b.png	negative	153	13	methexp32	2017-07-24_12.02.08.484000
37	162	1.415000	02b.png	negative	153	14	methexp32	2017-07-24_12.02.08.484000
37	182	1.895000	29.png	neutral	170	15	methexp32	2017-07-24_12.02.08.484000
37	124	2.687000	67b.png	negative	153	16	methexp32	2017-07-24_12.02.08.484000
37	168	2.186000	77b.png	negative	153	17	methexp32	2017-07-24_12.02.08.484000
37	144	2.775000	12b.png	negative	153	18	methexp32	2017-07-24_12.02.08.484000
