ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
47	85	15.233000	43.png	negative	153	1	methexp32	2017-08-01_10.55.17.766000
47	172	7.117000	13b.png	positive	153	2	methexp32	2017-08-01_10.55.17.766000
47	39	4.208000	67b.png	negative	153	3	methexp32	2017-08-01_10.55.17.766000
47	200	4.807000	12b.png	positive	153	4	methexp32	2017-08-01_10.55.17.766000
47	116	7.446000	50.png	neutral	170	5	methexp32	2017-08-01_10.55.17.766000
47	158	22.194000	02b.png	positive	153	6	methexp32	2017-08-01_10.55.17.766000
47	193	3.027000	39b.png	positive	153	7	methexp32	2017-08-01_10.55.17.766000
47	46	3.107000	77b.png	negative	153	8	methexp32	2017-08-01_10.55.17.766000
47	103	3.196000	29.png	neutral	158	9	methexp32	2017-08-01_10.55.17.766000
47	50	4.476000	70b.png	negative	153	10	methexp32	2017-08-01_10.55.17.766000
47	30	3.527000	81b.png	negative	153	11	methexp32	2017-08-01_10.55.17.766000
47	63	3.227000	68b.png	negative	153	12	methexp32	2017-08-01_10.55.17.766000
47	173	2.828000	98b.png	positive	153	13	methexp32	2017-08-01_10.55.17.766000
47	44	3.307000	14b.png	positive	153	14	methexp32	2017-08-01_10.55.17.766000
47	100	5.777000	72b.png	negative	153	15	methexp32	2017-08-01_10.55.17.766000
47	169	3.397000	99.png	positive	153	16	methexp32	2017-08-01_10.55.17.766000
47	100	5.367000	16b.png	negative	153	17	methexp32	2017-08-01_10.55.17.766000
47	183	5.676000	20b.png	positive	153	18	methexp32	2017-08-01_10.55.17.766000
