ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
36	42	10.207000	02b.png	positive	153	1	methexp32	2017-07-21_11.58.58.945000
36	53	2.366000	81b.png	negative	153	2	methexp32	2017-07-21_11.58.58.945000
36	48	1.960000	77b.png	positive	153	3	methexp32	2017-07-21_11.58.58.945000
36	77	6.785000	67b.png	positive	153	4	methexp32	2017-07-21_11.58.58.945000
36	52	3.666000	99.png	negative	153	5	methexp32	2017-07-21_11.58.58.945000
36	179	6.255000	50.png	neutral	170	6	methexp32	2017-07-21_11.58.58.945000
36	57	12.014000	39b.png	positive	153	7	methexp32	2017-07-21_11.58.58.945000
36	72	3.196000	12b.png	negative	153	8	methexp32	2017-07-21_11.58.58.945000
36	50	7.036000	20b.png	negative	153	9	methexp32	2017-07-21_11.58.58.945000
36	164	7.065000	29.png	neutral	158	10	methexp32	2017-07-21_11.58.58.945000
36	87	3.006000	70b.png	positive	153	11	methexp32	2017-07-21_11.58.58.945000
36	86	3.196000	68b.png	negative	153	12	methexp32	2017-07-21_11.58.58.945000
36	58	2.586000	13b.png	negative	153	13	methexp32	2017-07-21_11.58.58.945000
36	41	3.385000	43.png	negative	153	14	methexp32	2017-07-21_11.58.58.945000
36	93	2.616000	98b.png	positive	153	15	methexp32	2017-07-21_11.58.58.945000
36	80	3.625000	14b.png	positive	153	16	methexp32	2017-07-21_11.58.58.945000
36	60	5.005000	72b.png	negative	153	17	methexp32	2017-07-21_11.58.58.945000
36	54	3.164000	16b.png	positive	153	18	methexp32	2017-07-21_11.58.58.945000
