ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
287	Kenne ich sehr gut	03.png	1	methexp32	2017-05-03_15.51.53.091000
287	Kenne ich	20.png	2	methexp32	2017-05-03_15.51.53.091000
287	Kenne ich	22.png	3	methexp32	2017-05-03_15.51.53.091000
287	Kenne ich	51.png	4	methexp32	2017-05-03_15.51.53.091000
287	Kenne ich	14.png	5	methexp32	2017-05-03_15.51.53.091000
287	Schon mal gesehen	50.png	6	methexp32	2017-05-03_15.51.53.091000
287	Schon mal gesehen	08.png	7	methexp32	2017-05-03_15.51.53.091000
287	Gar nicht	04.png	8	methexp32	2017-05-03_15.51.53.091000
