ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
318	Schon mal gesehen	50.png	1	methexp32	2017-05-09_10.56.57.963000
318	Gar nicht	08.png	2	methexp32	2017-05-09_10.56.57.963000
318	Schon mal gesehen	22.png	3	methexp32	2017-05-09_10.56.57.963000
318	Gar nicht	04.png	4	methexp32	2017-05-09_10.56.57.963000
318	Schon mal gesehen	51.png	5	methexp32	2017-05-09_10.56.57.963000
318	Gar nicht	14.png	6	methexp32	2017-05-09_10.56.57.963000
318	Gar nicht	20.png	7	methexp32	2017-05-09_10.56.57.963000
318	Gar nicht	03.png	8	methexp32	2017-05-09_10.56.57.963000
