ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
218	Gar nicht	03.png	1	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	14.png	2	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	20.png	3	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	22.png	4	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	51.png	5	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	04.png	6	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	50.png	7	methexp32	2017-04-20_10.05.36.824000
218	Gar nicht	08.png	8	methexp32	2017-04-20_10.05.36.824000
