ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
177	Gar nicht	04.png	1	methexp32	2017-03-02_13.24.23.031000
177	Gar nicht	51.png	2	methexp32	2017-03-02_13.24.23.031000
177	Gar nicht	50.png	3	methexp32	2017-03-02_13.24.23.031000
177	Schon mal gesehen	14.png	4	methexp32	2017-03-02_13.24.23.031000
177	Schon mal gesehen	03.png	5	methexp32	2017-03-02_13.24.23.031000
177	Schon mal gesehen	20.png	6	methexp32	2017-03-02_13.24.23.031000
177	Schon mal gesehen	22.png	7	methexp32	2017-03-02_13.24.23.031000
177	Schon mal gesehen	08.png	8	methexp32	2017-03-02_13.24.23.031000
