ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
288	20.png	n25.wav	152	75	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p21.wav	152	76	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	04.png	n11.wav	152	77	0	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p45.wav	152	78	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p23.wav	250	79	0	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n31.wav	152	80	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	03.png	p36.wav	250	81	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	22.png	n31.wav	250	82	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu1.wav	158	83	0	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu2.wav	158	84	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n25.wav	250	85	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p21.wav	250	86	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p52.wav	152	87	180	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n46.wav	152	88	0	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p45.wav	250	89	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n30.wav	250	90	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p36.wav	152	91	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	22.png	n13.wav	250	92	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p45.wav	152	93	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p52.wav	250	94	180	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p53.wav	152	95	0	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p53.wav	152	96	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n50.wav	250	97	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n13.wav	250	98	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	22.png	n25.wav	250	99	0	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p89.wav	152	100	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
