US	CS	Time	PCName	timeStamp
p73.wav	20.png	152	methexp32	2017-02-09_15.31.29.205000
n13.wav	03.png	250	methexp32	2017-02-09_15.31.29.205000
p45.wav	22.png	250	methexp32	2017-02-09_15.31.29.205000
p36.wav	22.png	250	methexp32	2017-02-09_15.31.29.205000
n46.wav	04.png	152	methexp32	2017-02-09_15.31.29.205000
n13.wav	50.png	152	methexp32	2017-02-09_15.31.29.205000
p89.wav	14.png	250	methexp32	2017-02-09_15.31.29.205000
n40.wav	50.png	152	methexp32	2017-02-09_15.31.29.205000
n31.wav	08.png	250	methexp32	2017-02-09_15.31.29.205000
n13.wav	04.png	152	methexp32	2017-02-09_15.31.29.205000
n14.wav	03.png	250	methexp32	2017-02-09_15.31.29.205000
n40.wav	04.png	152	methexp32	2017-02-09_15.31.29.205000
n46.wav	03.png	250	methexp32	2017-02-09_15.31.29.205000
p52.wav	14.png	250	methexp32	2017-02-09_15.31.29.205000
n11.wav	04.png	152	methexp32	2017-02-09_15.31.29.205000
p23.wav	14.png	250	methexp32	2017-02-09_15.31.29.205000
n25.wav	04.png	152	methexp32	2017-02-09_15.31.29.205000
p91.wav	51.png	152	methexp32	2017-02-09_15.31.29.205000
neu4.wav	MotivationCS27.png	170	methexp32	2017-02-09_15.31.29.205000
neu7.wav	MotivationCS33.png	158	methexp32	2017-02-09_15.31.29.205000
n25.wav	08.png	250	methexp32	2017-02-09_15.31.29.205000
neu6.wav	MotivationCS33.png	158	methexp32	2017-02-09_15.31.29.205000
p45.wav	51.png	152	methexp32	2017-02-09_15.31.29.205000
p52.wav	20.png	152	methexp32	2017-02-09_15.31.29.205000
n45.wav	50.png	152	methexp32	2017-02-09_15.31.29.205000
n25.wav	03.png	250	methexp32	2017-02-09_15.31.29.205000
p53.wav	20.png	152	methexp32	2017-02-09_15.31.29.205000
p73.wav	51.png	152	methexp32	2017-02-09_15.31.29.205000
p23.wav	22.png	250	methexp32	2017-02-09_15.31.29.205000
p21.wav	14.png	250	methexp32	2017-02-09_15.31.29.205000
neu4.wav	MotivationCS33.png	158	methexp32	2017-02-09_15.31.29.205000
n50.wav	50.png	152	methexp32	2017-02-09_15.31.29.205000
n11.wav	08.png	250	methexp32	2017-02-09_15.31.29.205000
n40.wav	03.png	250	methexp32	2017-02-09_15.31.29.205000
