ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
80	90	20.800000	22.png	n50.wav	250	1	methexp32	2017-01-23_12.46.48.186000
80	120	6.958000	03.png	n25.wav	250	2	methexp32	2017-01-23_12.46.48.186000
80	120	3.038000	20.png	n40.wav	152	3	methexp32	2017-01-23_12.46.48.186000
80	64	9.518000	04.png	p53.wav	152	4	methexp32	2017-01-23_12.46.48.186000
80	142	3.247000	14.png	p52.wav	250	5	methexp32	2017-01-23_12.46.48.186000
80	135	5.169000	51.png	p45.wav	152	6	methexp32	2017-01-23_12.46.48.186000
80	180	3.649000	50.png	n50.wav	152	7	methexp32	2017-01-23_12.46.48.186000
80	67	7.208000	08.png	p52.wav	250	8	methexp32	2017-01-23_12.46.48.186000
