ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
14	14.png	n50.wav	250	1	180	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p89.wav	250	2	90	270	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p22.wav	250	3	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	20.png	n45.wav	152	4	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS27.png	neu9.wav	170	5	90	0	Space	methexp32	2017-01-10_10.35.52.304000	
14	04.png	p91.wav	152	6	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n30.wav	152	7	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n31.wav	250	8	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	03.png	n50.wav	250	9	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	20.png	n25.wav	152	10	90	270	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS33.png	neu9.wav	158	11	180	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS33.png	neu5.wav	158	12	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p22.wav	250	13	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	51.png	p45.wav	152	14	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	03.png	n31.wav	250	15	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	03.png	n13.wav	250	16	270	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	20.png	n40.wav	152	17	270	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p36.wav	250	18	180	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n50.wav	152	19	270	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	51.png	p52.wav	152	20	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n46.wav	250	21	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n45.wav	250	22	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS33.png	neu6.wav	158	23	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	04.png	p23.wav	152	24	270	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	04.png	p89.wav	152	25	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	04.png	p53.wav	152	26	270	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n40.wav	250	27	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS33.png	neu1.wav	158	28	270	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n45.wav	152	29	180	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n40.wav	152	30	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	20.png	n13.wav	152	31	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	20.png	n11.wav	152	32	180	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p45.wav	250	33	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS27.png	neu10.wav	170	34	180	90	Space	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p52.wav	250	35	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n13.wav	250	36	90	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p53.wav	250	37	270	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n11.wav	152	38	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	22.png	p23.wav	250	39	90	270	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p23.wav	250	40	270	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS27.png	neu5.wav	170	41	90	0	Space	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p21.wav	250	42	90	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	51.png	p91.wav	152	43	180	270	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	51.png	p21.wav	152	44	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n31.wav	152	45	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	50.png	n13.wav	152	46	270	0	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	14.png	n25.wav	250	47	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	51.png	p23.wav	152	48	90	270	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	MotivationCS27.png	neu3.wav	170	49	90	180	Space	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p45.wav	250	50	0	180	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	04.png	p21.wav	152	51	0	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
14	08.png	p89.wav	250	52	180	90	NoSpace	methexp32	2017-01-10_10.35.52.304000	
