ParticipantNumber	knowing	CS	TrialNr	computerName	timeStamp
12	Kenne ich sehr gut	51.png	1	methexp32	2017-01-09_17.50.24.421000
12	Schon mal gesehen	22.png	2	methexp32	2017-01-09_17.50.24.421000
12	Gar nicht	04.png	3	methexp32	2017-01-09_17.50.24.421000
12	Gar nicht	20.png	4	methexp32	2017-01-09_17.50.24.421000
12	Kenne ich sehr gut	14.png	5	methexp32	2017-01-09_17.50.24.421000
12	Kenne ich sehr gut	08.png	6	methexp32	2017-01-09_17.50.24.421000
12	Kenne ich sehr gut	50.png	7	methexp32	2017-01-09_17.50.24.421000
12	Gar nicht	03.png	8	methexp32	2017-01-09_17.50.24.421000
