ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
235	22.png	n45.wav	250	1	180	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n50.wav	250	2	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu1.wav	158	3	90	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p52.wav	250	4	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu5.wav	170	5	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu5.wav	158	6	270	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p22.wav	250	7	0	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n40.wav	152	8	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu10.wav	170	9	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p52.wav	250	10	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p21.wav	250	11	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p22.wav	152	12	270	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	22.png	n50.wav	250	13	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu2.wav	158	14	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p89.wav	250	15	0	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu9.wav	170	16	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p21.wav	250	17	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n13.wav	250	18	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n31.wav	250	19	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n50.wav	152	20	180	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p91.wav	250	21	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p73.wav	250	22	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p73.wav	250	23	180	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p22.wav	152	24	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n46.wav	152	25	0	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n31.wav	152	26	180	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu10.wav	158	27	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n13.wav	152	28	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p89.wav	152	29	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p52.wav	152	30	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p36.wav	250	31	180	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p36.wav	152	32	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p23.wav	250	33	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p21.wav	152	34	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n11.wav	152	35	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu4.wav	170	36	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	22.png	n25.wav	250	37	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n25.wav	152	38	0	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p22.wav	250	39	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu8.wav	158	40	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n25.wav	250	41	0	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p45.wav	152	42	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu3.wav	170	43	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p23.wav	152	44	90	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p45.wav	152	45	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	22.png	n31.wav	250	46	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n11.wav	152	47	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n46.wav	152	48	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p89.wav	152	49	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p73.wav	152	50	180	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	22.png	n40.wav	250	51	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n45.wav	152	52	180	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p52.wav	152	53	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p23.wav	152	54	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu9.wav	158	55	0	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n40.wav	250	56	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n45.wav	152	57	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n30.wav	152	58	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n25.wav	152	59	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu6.wav	170	60	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu8.wav	170	61	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p23.wav	250	62	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p45.wav	250	63	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	51.png	n40.wav	152	64	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu7.wav	158	65	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p45.wav	250	66	0	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	03.png	p91.wav	250	67	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu7.wav	170	68	90	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p21.wav	152	69	270	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n30.wav	152	70	180	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p53.wav	152	71	270	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	50.png	p91.wav	152	72	0	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	04.png	n13.wav	152	73	180	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p53.wav	250	74	270	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p73.wav	152	75	0	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n11.wav	250	76	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu2.wav	170	77	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n30.wav	250	78	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS33.png	neu1.wav	170	79	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p36.wav	152	80	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	08.png	p89.wav	250	81	90	270	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	MotivationCS27.png	neu4.wav	158	82	0	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	14.png	n45.wav	250	83	0	180	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	22.png	n13.wav	250	84	180	90	NoSpace	methexp32	2017-04-25_12.28.10.305000	
235	20.png	p91.wav	152	85	90	0	NoSpace	methexp32	2017-04-25_12.28.10.305000	
