ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
302	MotivationCS33.png	neu5.wav	170	1	270	90	Space	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu6.wav	158	2	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p53.wav	152	3	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu6.wav	170	4	270	180	Space	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p45.wav	250	5	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p52.wav	152	6	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p52.wav	250	7	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu2.wav	158	8	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n46.wav	250	9	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n50.wav	152	10	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu7.wav	158	11	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p89.wav	152	12	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu10.wav	158	13	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu3.wav	158	14	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p36.wav	152	15	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n46.wav	250	16	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n14.wav	152	17	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p22.wav	152	18	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu1.wav	170	19	0	180	Space	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p45.wav	152	20	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p22.wav	250	21	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n40.wav	152	22	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n30.wav	152	23	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n14.wav	250	24	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p36.wav	250	25	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n13.wav	250	26	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p36.wav	250	27	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n50.wav	250	28	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p21.wav	152	29	0	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n13.wav	250	30	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n45.wav	152	31	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p73.wav	152	32	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n14.wav	250	33	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n45.wav	250	34	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p23.wav	250	35	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p89.wav	250	36	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n45.wav	250	37	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p89.wav	152	38	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu7.wav	170	39	270	180	Space	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p52.wav	152	40	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n31.wav	250	41	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n31.wav	152	42	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu1.wav	158	43	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p91.wav	152	44	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu9.wav	158	45	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n40.wav	250	46	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p45.wav	250	47	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n25.wav	152	48	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p53.wav	250	49	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n11.wav	250	50	0	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p73.wav	152	51	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p73.wav	250	52	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n31.wav	152	53	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p23.wav	152	54	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n25.wav	250	55	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p73.wav	250	56	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n30.wav	250	57	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu8.wav	158	58	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n13.wav	152	59	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	04.png	p36.wav	152	60	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu4.wav	158	61	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p53.wav	250	62	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n11.wav	152	63	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p22.wav	250	64	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n30.wav	152	65	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p21.wav	250	66	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu4.wav	170	67	0	90	Space	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p45.wav	152	68	270	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu10.wav	170	69	270	90	Space	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p89.wav	250	70	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p23.wav	250	71	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu3.wav	170	72	90	0	Space	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n13.wav	152	73	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p21.wav	250	74	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n50.wav	152	75	270	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n11.wav	250	76	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n25.wav	250	77	0	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p53.wav	152	78	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu8.wav	170	79	180	0	Space	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu2.wav	170	80	270	90	Space	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n11.wav	152	81	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p91.wav	250	82	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p22.wav	152	83	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n46.wav	152	84	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	08.png	p52.wav	250	85	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n31.wav	250	86	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n50.wav	250	87	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	22.png	n30.wav	250	88	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n46.wav	152	89	180	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	03.png	n40.wav	250	90	0	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	14.png	p91.wav	250	91	180	90	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS27.png	neu5.wav	158	92	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n14.wav	152	93	0	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p21.wav	152	94	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p91.wav	152	95	90	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	50.png	n25.wav	152	96	90	180	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	20.png	p23.wav	152	97	270	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n40.wav	152	98	90	270	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	51.png	n45.wav	152	99	180	0	NoSpace	methexp32	2017-05-04_12.48.46.285000	
302	MotivationCS33.png	neu9.wav	170	100	0	90	Space	methexp32	2017-05-04_12.48.46.285000	
