phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,91,1,1,1,NA,NA,NA,27.png,19.png,0,None,None,None,None
trials,91,1,2,1,1,positive,extinction,5.png,empty.png,0,None,None,None,None
trials,91,1,3,1,NA,NA,NA,empty.png,6.png,0,None,None,None,None
trials,91,1,4,1,2,positive,extinction,5.png,empty.png,0,None,None,None,None
trials,91,1,5,1,1,negative,acquisition,17.png,9331.JPG,0,None,None,None,None
trials,91,1,6,1,1,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,91,1,7,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,8,1,1,negative,acquisition,10.png,2900.1.JPG,0,None,None,None,None
trials,91,1,9,1,1,positive,acquisition,20.png,1600.JPG,0,None,None,None,None
trials,91,1,10,1,1,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,91,1,11,1,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,91,1,12,1,NA,NA,NA,9280.JPG,empty.png,0,None,None,None,None
trials,91,1,13,1,1,negative,extinction,18.png,empty.png,0,None,None,None,None
trials,91,1,14,1,1,negative,acquisition,9.png,2100.JPG,0,None,None,None,None
trials,91,1,15,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,16,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,91,1,17,1,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,91,1,18,1,1,positive,acquisition,1.png,1750.JPG,0,None,None,None,None
trials,91,1,19,1,NA,NA,NA,5970.JPG,9000.JPG,0,None,None,None,None
trials,91,1,20,1,2,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,91,1,21,1,NA,NA,NA,empty.png,5720.JPG,0,None,None,None,None
trials,91,1,22,1,2,negative,acquisition,10.png,2900.1.JPG,0,None,None,None,None
trials,91,1,23,1,NA,NA,NA,27.png,19.png,0,None,None,None,None
trials,91,1,24,1,1,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,91,1,25,1,NA,NA,NA,empty.png,9280.JPG,0,None,None,None,None
trials,91,1,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,27,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,91,1,28,1,NA,NA,NA,27.png,19.png,0,None,None,None,None
trials,91,1,29,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,30,1,3,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,91,1,31,1,1,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,91,1,32,1,2,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,91,1,33,1,NA,NA,NA,5970.JPG,9000.JPG,0,None,None,None,None
trials,91,1,34,1,1,negative,extinction,8.png,empty.png,0,None,None,None,None
trials,91,1,35,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,36,1,1,neutral,acquisition,21.png,7175.JPG,0,None,None,None,None
trials,91,1,37,1,1,positive,acquisition,12.png,1540.JPG,0,None,None,None,None
trials,91,1,38,1,3,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,91,1,39,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,91,1,40,1,2,positive,acquisition,12.png,1540.JPG,0,None,None,None,None
trials,91,1,41,1,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,91,1,42,1,NA,NA,NA,empty.png,5720.JPG,0,None,None,None,None
trials,91,1,43,1,1,positive,extinction,26.png,empty.png,0,None,None,None,None
