phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,92,1,1,1,NA,NA,NA,25.png,22.png,0,None,None,None,None
trials,92,1,2,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,92,1,3,1,1,positive,acquisition,20.png,1440.JPG,0,None,None,None,None
trials,92,1,4,1,1,negative,acquisition,10.png,2276.JPG,0,None,None,None,None
trials,92,1,5,1,NA,NA,NA,5660.JPG,empty.png,0,None,None,None,None
trials,92,1,6,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,92,1,7,1,NA,NA,NA,6.png,2.png,0,None,None,None,None
trials,92,1,8,1,1,neutral,acquisition,11.png,7090.JPG,0,None,None,None,None
trials,92,1,9,1,1,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,92,1,10,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,92,1,11,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,92,1,12,1,NA,NA,NA,empty.png,5870.JPG,0,None,None,None,None
trials,92,1,13,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,92,1,14,1,2,negative,acquisition,10.png,2276.JPG,0,None,None,None,None
trials,92,1,15,1,1,positive,extinction,5.png,empty.png,0,None,None,None,None
trials,92,1,16,1,1,positive,extinction,26.png,empty.png,0,None,None,None,None
trials,92,1,17,1,NA,NA,NA,5660.JPG,empty.png,0,None,None,None,None
trials,92,1,18,1,NA,NA,NA,empty.png,5660.JPG,0,None,None,None,None
trials,92,1,19,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,92,1,20,1,1,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,92,1,21,1,1,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,92,1,22,1,1,positive,acquisition,12.png,1463.JPG,0,None,None,None,None
trials,92,1,23,1,1,negative,extinction,8.png,empty.png,0,None,None,None,None
trials,92,1,24,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,92,1,25,1,1,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,92,1,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,92,1,27,1,NA,NA,NA,16.png,15.png,0,None,None,None,None
trials,92,1,28,1,2,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,92,1,29,1,1,negative,acquisition,17.png,2750.JPG,0,None,None,None,None
trials,92,1,30,1,2,negative,extinction,8.png,empty.png,0,None,None,None,None
trials,92,1,31,1,2,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,92,1,32,1,1,negative,acquisition,9.png,9041.JPG,0,None,None,None,None
