phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,90,1,1,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,2,2,1,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,90,1,3,2,1,neutral,acquisition,7006.JPG,21.png,0,None,None,None,None
trials,90,1,4,2,1,negative,acquisition,3181.JPG,10.png,0,None,None,None,None
trials,90,1,5,2,NA,NA,NA,empty.png,9280.JPG,0,None,None,None,None
trials,90,1,6,2,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,90,1,7,2,1,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,90,1,8,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,90,1,9,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,90,1,10,2,2,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,90,1,11,2,1,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,90,1,12,2,1,positive,acquisition,1604.JPG,20.png,0,None,None,None,None
trials,90,1,13,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,14,2,1,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,90,1,15,2,NA,NA,NA,empty.png,9000.JPG,0,None,None,None,None
trials,90,1,16,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,17,2,2,neutral,acquisition,7006.JPG,21.png,0,None,None,None,None
trials,90,1,18,2,1,neutral,acquisition,7004.JPG,11.png,0,None,None,None,None
trials,90,1,19,2,1,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,90,1,20,2,NA,NA,NA,5660.JPG,5720.JPG,0,None,None,None,None
trials,90,1,21,2,1,negative,acquisition,9041.JPG,9.png,0,None,None,None,None
trials,90,1,22,2,NA,NA,NA,9000.JPG,empty.png,0,None,None,None,None
trials,90,1,23,2,3,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,90,1,24,2,NA,NA,NA,5660.JPG,5720.JPG,0,None,None,None,None
trials,90,1,25,2,1,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,90,1,26,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,27,2,2,neutral,acquisition,7004.JPG,11.png,0,None,None,None,None
trials,90,1,28,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,90,1,29,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,30,2,2,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,90,1,31,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,32,2,NA,NA,NA,5611.JPG,5250.JPG,0,None,None,None,None
trials,90,1,33,2,3,neutral,acquisition,7006.JPG,21.png,0,None,None,None,None
trials,90,1,34,2,NA,NA,NA,9280.JPG,empty.png,0,None,None,None,None
trials,90,1,35,2,1,positive,acquisition,1590.JPG,1.png,0,None,None,None,None
trials,90,1,36,2,NA,NA,NA,empty.png,6.png,0,None,None,None,None
trials,90,1,37,2,NA,NA,NA,5870.JPG,5970.JPG,0,None,None,None,None
trials,90,1,38,2,1,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,90,1,39,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,40,2,2,negative,acquisition,9041.JPG,9.png,0,None,None,None,None
trials,90,1,41,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,90,1,42,2,NA,NA,NA,empty.png,19.png,0,None,None,None,None
trials,90,1,43,2,1,neutral,extinction,empty.png,4.png,0,None,None,None,None
