phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,66,1,78,2,3,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,1,79,2,4,neutral,acquisition,7705.JPG,11.png,1,0,0,0,None
trials,66,1,80,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,1,81,2,3,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,1,82,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,1,83,2,3,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,1,84,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,1,85,2,2,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,1,86,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,87,2,3,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,1,88,2,3,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,1,89,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,90,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,1,91,2,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,66,1,92,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,1,93,2,2,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,1,94,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,1,95,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,96,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,1,97,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,98,2,3,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,1,99,2,2,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,1,100,2,4,positive,extinction,empty.png,5.png,1,0,0,0,None
trials,66,1,101,2,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,66,1,102,2,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,66,1,103,2,4,negative,acquisition,2399.JPG,10.png,1,0,0,0,None
trials,66,1,104,2,3,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,1,105,2,3,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,1,106,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,1,107,2,3,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,1,108,2,4,negative,extinction,empty.png,23.png,1,5,0,0,None
trials,66,1,109,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,110,2,3,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,1,111,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,1,112,2,4,positive,acquisition,1750.JPG,20.png,1,0,10,0,None
trials,66,1,113,2,3,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,1,114,2,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,66,2,1,2,4,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,2,2,2,4,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,2,3,2,4,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,2,4,2,4,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,2,5,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,6,2,4,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,2,7,2,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,66,2,8,2,5,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,2,9,2,NA,NA,NA,empty.png,19.png,0,None,None,None,None
trials,66,2,10,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,11,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,66,2,12,2,5,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,2,13,2,4,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,2,14,2,4,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,2,15,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,16,2,5,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,2,17,2,4,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,2,18,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,19,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,2,20,2,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,66,2,21,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,2,22,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,23,2,5,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,2,24,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,25,2,5,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,2,26,2,NA,NA,NA,25.png,empty.png,0,None,None,None,None
trials,66,2,27,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,2,28,2,5,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,2,29,2,NA,NA,NA,empty.png,19.png,0,None,None,None,None
trials,66,2,30,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,31,2,5,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,2,32,2,5,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,2,33,2,5,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,66,2,34,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,35,2,4,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,2,36,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,37,2,6,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,2,38,2,4,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,2,39,2,NA,NA,NA,25.png,empty.png,0,None,None,None,None
trials,66,2,40,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,41,2,6,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,2,42,2,6,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,2,43,2,5,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,2,44,2,6,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,2,45,2,6,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,2,46,2,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,66,2,47,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,2,48,2,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,66,2,49,2,NA,NA,NA,5611.JPG,empty.png,0,None,None,None,None
trials,66,2,50,2,7,positive,acquisition,1600.JPG,12.png,1,0,10,0,None
trials,66,2,51,2,5,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,2,52,2,7,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,2,53,2,5,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,2,54,2,5,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,2,55,2,5,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,2,56,2,5,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,2,57,2,4,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,2,58,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,59,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,2,60,2,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,66,2,61,2,6,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,2,62,2,4,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,2,63,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,2,64,2,5,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,2,65,2,6,neutral,acquisition,7025.JPG,21.png,0,None,None,None,None
trials,66,2,66,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,67,2,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,66,2,68,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,69,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,2,70,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,2,71,2,6,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,2,72,2,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,66,2,73,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,2,74,2,7,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,2,75,2,6,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,2,76,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,77,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,2,78,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,79,2,5,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,2,80,2,5,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,2,81,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,2,82,2,7,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,2,83,2,6,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,2,84,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,2,85,2,6,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,2,86,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,2,87,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,88,2,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,66,2,89,2,6,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,2,90,2,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,66,2,91,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,2,92,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,2,93,2,6,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,2,94,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,2,95,2,6,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,2,96,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,2,97,2,6,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,66,2,98,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,2,99,2,7,positive,extinction,empty.png,3.png,1,0,0,0,None
trials,66,2,100,2,6,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,2,101,2,6,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,2,102,2,7,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,66,2,103,2,7,neutral,extinction,empty.png,4.png,1,0,0,10,None
trials,66,2,104,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
