Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,scale_answer_6.rt,scale_answer_6.duration,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_4.rt,scale_answer_4.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11647649999940768,0.11654350004391745,0.11655190004967153,14.968092600000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96814050001558,41.8280448000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.84155690000625,,,,,,,,41.82806040003197,42.831576200027484,49.33409010001924,49.82616130000679,43.32372820004821,49.33392870001262,2,1.7965697000036016,None,49.82617220003158,55.83630170003744,2,1.7965697000036016,None,55.83659429999534,55.83661840000423,55.836625800002366,55.83670530002564,,None,None,55.836866400029976,55.836886600009166,55.8368935000035,55.83696470002178,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.837075100047514,58.47293390001869,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,59.48662640003022,,,,,,,,58.472950000024866,59.47668080002768,59.47715250001056,59.96864520001691,,,1,2.405442699964624,,,,,,,,,,,,,,,,,,,,,59.96865600004094,65.97143730003154,Kerze,sauber,"['Kerze', 'sauber']",restudy_diff,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']",['sauber'],1,2.405442699964624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,65.9809055000078,,,,,,,,,,65.97210569999879,66.46304610004881,,,3,1.9159435000037774,,,,,,,,,,,,,,,,,,,,,66.46305710001616,72.4651492999983,Vase,zart,"['Vase', 'zart']",restudy_diff,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']","['sauber', 'zart']",3,1.9159435000037774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,72.47455830004765,,,,,,,,,,72.46562760003144,72.95683880004799,,,1,2.21404099999927,,,,,,,,,,,,,,,,,,,,,72.95685080002295,78.95872170000803,Buch,hohl,"['Buch', 'hohl']",restudy_diff,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']","['sauber', 'zart', 'hohl']",1,2.21404099999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,78.96822199999588,,,,,,,,,,78.95919950003736,79.4502816000022,,,1,1.712017600017134,,,,,,,,,,,,,,,,,,,,,79.45029190002242,85.45379010000033,Rucksack,elegant,"['Rucksack', 'elegant']",control,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']","['sauber', 'zart', 'hohl', 'elegant']",1,1.712017600017134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,85.46327180002118,,,,,,,,,,85.45425609999802,85.94523340003798,,,3,2.3776874000323005,,,,,,,,,,,,,,,,,,,,,85.94525720004458,91.95119460002752,Schlüssel,neu,"['Schlüssel', 'neu']",control,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']","['sauber', 'zart', 'hohl', 'elegant', 'neu']",3,2.3776874000323005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,91.9607264000224,,,,,,,,,,91.95167370000854,92.44304500002181,,,3,1.9838545999955386,,,,,,,,,,,,,,,,,,,,,92.4430559000466,98.44501460000174,Würfel,klobig,"['Würfel', 'klobig']",restudy_diff,1,"['Kerze', 'Vase', 'Buch', 'Rucksack', 'Schlüssel', 'Würfel', 'Stift', 'Blume', 'Tasche', 'Uhr', 'Tasse', 'Flasche', 'Lampe', 'Kamera', 'Bürste', 'Jacke', 'Hammer', 'Löffel', 'Geige', 'Trommel', 'Eimer', 'Brille']","['sauber', 'zart', 'hohl', 'elegant', 'neu', 'klobig']",3,1.9838545999955386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-22_11h34.31.902,watkins1,2023.2.3,99.73341261321482,96,2024-01-22 11h35.15.315403 +0000,
