Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,114.46869010012597,,,,,,,,,,,,114.45973430015147,114.9507730002515,,,1,1.6451572002843022,,,,,,,,,,,,,,,,,,,114.95078410021961,120.95947620039806,Buch,kratzig,"['Buch', 'kratzig']",test_sub,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig']",1,1.6451572002843022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,120.96891080029309,,,,,,,,,,,,120.95999040035531,121.45096560008824,,,3,2.648807200137526,,,,,,,,,,,,,,,,,,,121.45097590005025,127.45213950006291,Flasche,gut,"['Flasche', 'gut']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut']",3,2.648807200137526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,127.4615668002516,,,,,,,,,,,,127.45266140019521,127.94355640001595,,,1,3.876145400106907,,,,,,,,,,,,,,,,,,,127.94356730021536,133.95356010040268,Brille,hübsch,"['Brille', 'hübsch']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch']",1,3.876145400106907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,133.9631157000549,,,,,,,,,,,,133.95406100014225,134.44514270033687,,,1,3.1977480999194086,,,,,,,,,,,,,,,,,,,134.4451530002989,140.44726380007342,Stift,gestreift,"['Stift', 'gestreift']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift']",1,3.1977480999194086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,140.4566926001571,,,,,,,,,,,,140.44778680009767,140.9393564001657,,,3,2.6486638002097607,,,,,,,,,,,,,,,,,,,140.9393670000136,146.94526470033452,Fahrrad,neu,"['Fahrrad', 'neu']",test_sub,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu']",3,2.6486638002097607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,146.95477820001543,,,,,,,,,,,,146.94578150007874,147.43682540021837,,,3,2.046745900064707,,,,,,,,,,,,,,,,,,,147.43683510040864,153.44446470029652,Kamera,lustig,"['Kamera', 'lustig']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu', 'lustig']",3,2.046745900064707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,153.4539196002297,,,,,,,,,,,,153.44496640004218,153.93587420042604,,,1,3.1868469999171793,,,,,,,,,,,,,,,,,,,153.93588470015675,159.94177230028436,Telefon,groß,"['Telefon', 'groß']",test_sub,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu', 'lustig', 'groß']",1,3.1868469999171793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,159.95125000039116,,,,,,,,,,,,159.94229360017926,160.43321270029992,,,1,1.497704999987036,,,,,,,,,,,,,,,,,,,160.43322280002758,166.43684540037066,Rucksack,elegant,"['Rucksack', 'elegant']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu', 'lustig', 'groß', 'elegant']",1,1.497704999987036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,166.44626380037516,,,,,,,,,,,,166.4373620999977,166.92821990000084,,,1,2.5875678001902997,,,,,,,,,,,,,,,,,,,166.9282304001972,172.93814300000668,Socke,klobig,"['Socke', 'klobig']",test_sub,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu', 'lustig', 'groß', 'elegant', 'klobig']",1,2.5875678001902997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,172.94760660035536,,,,,,,,,,,,172.93866930017248,173.42974360007793,,,1,2.6543739000335336,,,,,,,,,,,,,,,,,,,173.42975400015712,179.43260020017624,Ring,sportlich,"['Ring', 'sportlich']",restudy,2,"['Bürste', 'Vase', 'Tasse', 'Kerze', 'Blume', 'Trommel', 'Buch', 'Flasche', 'Brille', 'Stift', 'Fahrrad', 'Kamera', 'Telefon', 'Rucksack', 'Socke', 'Ring', 'Eimer', 'Hammer', 'Löffel', 'Lampe', 'Schlüssel', 'Schere', 'Jacke', 'Kette', 'Kiste', 'Hut', 'Würfel', 'Uhr', 'Geige', 'Tasche']","['nachhaltig', 'dunkel', 'praktisch', 'bunt', 'sauber', 'hohl', 'kratzig', 'gut', 'hübsch', 'gestreift', 'neu', 'lustig', 'groß', 'elegant', 'klobig', 'sportlich']",1,2.6543739000335336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.43.851,watkins1,2023.2.3,99.73390966766998,85,2024-01-10 13h40.54.180457 +0000,
