Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,scale_answer_4.rt,scale_answer_4.duration,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_6.rt,scale_answer_6.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09578529999998864,0.09585030000016559,0.09585890000016661,8.454357499998878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45440570000028,44.551937799998996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.565388499999244,,,,,,,,44.551955400000224,45.55541389999962,52.05426520000037,52.54801090000001,46.047490599999946,52.05410060000031,2,1.898456900000383,None,52.54802120000022,58.553180099999736,2,1.898456900000383,None,58.55347710000024,58.55350039999939,58.553507399999944,58.55358659999911,,None,None,58.55375400000048,58.55377469999985,58.55378129999917,58.553853999999774,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.553968399999576,63.00804810000045,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,64.02159319999919,,,,,,,,63.008064800000284,64.01162250000016,64.01206889999958,64.5036342000003,,,2,2.124529099999563,,,,,,,,,,,,,,,,,,,,,64.50364439999976,70.50460569999996,Tasche,biegsam,"['Tasche', 'biegsam']",restudy_diff,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']",['biegsam'],2,2.124529099999563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,70.51409969999986,,,,,,,,,,70.50522379999893,70.99613200000022,,,2,1.4998944999988453,,,,,,,,,,,,,,,,,,,,,70.99614160000056,77.00030239999978,Schere,bunt,"['Schere', 'bunt']",restudy_diff,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']","['biegsam', 'bunt']",2,1.4998944999988453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,77.00977090000015,,,,,,,,,,77.00087150000036,77.49179720000029,,,3,1.9569583000011335,,,,,,,,,,,,,,,,,,,,,77.49180720000004,83.49583399999938,Kiste,hässlich,"['Kiste', 'hässlich']",restudy_diff,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']","['biegsam', 'bunt', 'hässlich']",3,1.9569583000011335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,83.50529649999953,,,,,,,,,,83.49632410000049,83.98730239999895,,,2,1.766084499999124,,,,,,,,,,,,,,,,,,,,,83.98731179999959,89.98823020000054,Trommel,teuer,"['Trommel', 'teuer']",control,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']","['biegsam', 'bunt', 'hässlich', 'teuer']",2,1.766084499999124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,89.99772309999935,,,,,,,,,,89.98881459999939,90.47975029999907,,,3,1.6892141999996966,,,,,,,,,,,,,,,,,,,,,90.47976070000004,96.48179619999974,Vase,kalt,"['Vase', 'kalt']",control,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']","['biegsam', 'bunt', 'hässlich', 'teuer', 'kalt']",3,1.6892141999996966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,96.49124929999925,,,,,,,,,,96.48229489999903,96.97325730000011,,,1,2.036714199999551,,,,,,,,,,,,,,,,,,,,,96.9732673999988,102.97970969999915,Tasse,blass,"['Tasse', 'blass']",restudy_diff,1,"['Tasche', 'Schere', 'Kiste', 'Trommel', 'Vase', 'Tasse', 'Hut', 'Jacke', 'Schlüssel', 'Geige', 'Kerze', 'Eimer', 'Lampe', 'Ring', 'Brille', 'Socke', 'Löffel', 'Würfel', 'Bürste', 'Telefon', 'Kette', 'Kamera']","['biegsam', 'bunt', 'hässlich', 'teuer', 'kalt', 'blass']",1,2.036714199999551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-22_13h56.50.371,watkins1,2023.2.3,99.69085864676819,10,2023-11-22 13h56.58.285853 +0000,
