Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,scale_answer_6.rt,scale_answer_6.duration,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_4.rt,scale_answer_4.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11269820004235953,0.11276570003246889,0.11277410003822297,4.847228099999484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.847277100023348,51.86210440000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,52.87618459999794,,,,,,,,51.86212270002579,52.86620780004887,59.362325399997644,59.853684600035194,53.35835180000868,59.362162000034004,2,3.6171574000036344,None,59.85369509999873,65.85600580001483,2,3.6171574000036344,None,65.85629640001571,65.85631960001774,65.85632680001436,65.8564069000422,,None,None,65.8565673000412,65.85658770002192,65.85659460001625,65.8566664000391,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.85677820001729,71.48503470001742,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,72.49861100001726,,,,,,,,71.48505140002817,72.48852529999567,72.48896970000351,72.9806671999977,,,3,2.0256427000276744,,,,,,,,,,,,,,,,,,,,,72.98067750001792,78.98403069999767,Rucksack,praktisch,"['Rucksack', 'praktisch']",control,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']",['praktisch'],3,2.0256427000276744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,78.99350760004018,,,,,,,,,,78.98462100001052,79.47553650004556,,,2,3.007479100022465,,,,,,,,,,,,,,,,,,,,,79.47554710000986,85.48275200003991,Telefon,teuer,"['Telefon', 'teuer']",restudy_diff,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']","['praktisch', 'teuer']",2,3.007479100022465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,85.49220969999442,,,,,,,,,,85.48323030001484,85.97430560004432,,,2,2.2933157999650575,,,,,,,,,,,,,,,,,,,,,85.97431530000176,91.97482150001451,Kamera,gut,"['Kamera', 'gut']",restudy_diff,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']","['praktisch', 'teuer', 'gut']",2,2.2933157999650575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,91.98428020003485,,,,,,,,,,91.9752989000408,92.4664269000059,,,1,3.2661763000069186,,,,,,,,,,,,,,,,,,,,,92.46643710002536,98.46701439999742,Hut,schlicht,"['Hut', 'schlicht']",restudy_diff,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']","['praktisch', 'teuer', 'gut', 'schlicht']",1,3.2661763000069186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,98.47642650001217,,,,,,,,,,98.46752430003835,98.95855640002992,,,1,1.7416876999777742,,,,,,,,,,,,,,,,,,,,,98.95856640004786,104.96012480003992,Würfel,sportlich,"['Würfel', 'sportlich']",restudy_diff,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']","['praktisch', 'teuer', 'gut', 'schlicht', 'sportlich']",1,1.7416876999777742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,104.9696033000364,,,,,,,,,,104.96067000000039,105.45169180002995,,,1,2.1532059999881312,,,,,,,,,,,,,,,,,,,,,105.45170239999425,111.45339500001865,Hammer,zart,"['Hammer', 'zart']",restudy_diff,1,"['Rucksack', 'Telefon', 'Kamera', 'Hut', 'Würfel', 'Hammer', 'Bürste', 'Schere', 'Schlüssel', 'Geige', 'Löffel', 'Uhr', 'Vase', 'Socke', 'Jacke', 'Tasse', 'Eimer', 'Blume', 'Tasche', 'Ring', 'Fahrrad', 'Stift']","['praktisch', 'teuer', 'gut', 'schlicht', 'sportlich', 'zart']",1,2.1532059999881312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024-01-23_11h22.25.353,watkins1,2023.2.3,99.72973242216746,98,2024-01-23 11h22.39.609765 +0000,
