Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,104.17796830018051,,,,,,,,,,,,104.16903150011785,104.65997790009715,,,1,2.1985625000670552,,,,,,,,,,,,,,,,,,,,,104.65998840006068,110.6677592000924,Trommel,schlicht,"['Trommel', 'schlicht']",test_sub,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht']",1,2.1985625000670552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,110.67722190008499,,,,,,,,,,,,110.66827909997664,111.1592616001144,,,1,2.162512300070375,,,,,,,,,,,,,,,,,,,,,111.15927190007642,117.1641210000962,Vase,kratzig,"['Vase', 'kratzig']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig']",1,2.162512300070375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,117.17358379997313,,,,,,,,,,,,117.16462390008382,117.65564260003157,,,2,3.138061899924651,,,,,,,,,,,,,,,,,,,,,117.65565300011076,123.66294539999217,Socke,winzig,"['Socke', 'winzig']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig']",2,3.138061899924651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,123.67238180013373,,,,,,,,,,,,123.66345530003309,124.15445120004006,,,2,5.927693800069392,,,,,,,,,,,,,,,,,,,,,124.15446140011773,130.15580649999902,Löffel,hohl,"['Löffel', 'hohl']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl']",2,5.927693800069392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,130.1653176001273,,,,,,,,,,,,130.1563163001556,130.64734220015816,,,1,2.594778300030157,,,,,,,,,,,,,,,,,,,,,130.64735230011865,136.65093910018913,Bürste,nachhaltig,"['Bürste', 'nachhaltig']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig']",1,2.594778300030157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,136.66045740013942,,,,,,,,,,,,136.65146480011754,137.14247910003178,,,1,1.7325400998815894,,,,,,,,,,,,,,,,,,,,,137.1424889001064,143.14646390010603,Hammer,biegsam,"['Hammer', 'biegsam']",test_sub,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig', 'biegsam']",1,1.7325400998815894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,143.15592860011384,,,,,,,,,,,,143.14697020011954,143.63796410011128,,,3,2.2209588000550866,,,,,,,,,,,,,,,,,,,,,143.637974700192,149.6474911000114,Telefon,flach,"['Telefon', 'flach']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig', 'biegsam', 'flach']",3,2.2209588000550866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,149.65694979997352,,,,,,,,,,,,149.64800090016797,150.13900020020083,,,1,1.7119618998840451,,,,,,,,,,,,,,,,,,,,,150.13900970015675,156.14740710007027,Stift,flauschig,"['Stift', 'flauschig']",restudy,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig', 'biegsam', 'flach', 'flauschig']",1,1.7119618998840451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,156.15690180007368,,,,,,,,,,,,156.14793880004436,156.63893570005894,,,2,1.778973599895835,,,,,,,,,,,,,,,,,,,,,156.6389459001366,162.64236710011028,Jacke,sauber,"['Jacke', 'sauber']",test_sub,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig', 'biegsam', 'flach', 'flauschig', 'sauber']",2,1.778973599895835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,162.65181640000083,,,,,,,,,,,,162.64288120018318,163.13386719999835,,,1,2.3958225999958813,,,,,,,,,,,,,,,,,,,,,163.1338775001932,169.1406566000078,Uhr,hässlich,"['Uhr', 'hässlich']",test_sub,2,"['Ring', 'Tasse', 'Tasche', 'Würfel', 'Schlüssel', 'Hut', 'Trommel', 'Vase', 'Socke', 'Löffel', 'Bürste', 'Hammer', 'Telefon', 'Stift', 'Jacke', 'Uhr', 'Blume', 'Lampe', 'Flasche', 'Kerze', 'Buch', 'Kamera', 'Fahrrad', 'Kiste', 'Brille', 'Eimer', 'Rucksack', 'Geige', 'Kette', 'Schere']","['glatt', 'matt', 'zart', 'verspielt', 'teuer', 'hübsch', 'schlicht', 'kratzig', 'winzig', 'hohl', 'nachhaltig', 'biegsam', 'flach', 'flauschig', 'sauber', 'hässlich']",1,2.3958225999958813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-10_13h40.40.104,watkins1,2023.2.3,99.73231864768132,83,2024-01-10 13h41.04.132301 +0000,
