Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10927110002376139,0.10933979996480048,0.10934769990853965,3.5939348998945206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.593982999911532,55.79283510008827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,56.80668499995954,,,,,,,,55.7928530999925,56.79675869992934,63.297062899917364,63.78841249994002,57.28889219998382,63.29690250009298,2,3.433527300134301,None,63.78842379990965,69.79744670004584,2,3.433527300134301,None,69.79775810008869,70.28892190009356,70.2889338999521,76.29337189998478,vergnügt,None,None,76.29358859988861,76.29361329996027,76.2936205000151,76.29370120004751,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29382289992645,83.55240570008755,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,84.56654180004261,,,,,,,,83.55242300010286,84.55645960010588,84.55692879995331,85.04855570010841,,,2,3.5690367999486625,,,,,,,,,,,,,,,,,,,,,85.04856700007804,91.05320840002969,Kette,breit,"['Kette', 'breit']",restudy,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']",['breit'],2,3.5690367999486625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,91.0627194000408,,,,,,,,,,91.05385869997554,91.54473259998485,,,1,2.3846138999797404,,,,,,,,,,,,,,,,,,,,,91.54474369995296,97.55225379997864,Blume,schwer,"['Blume', 'schwer']",restudy,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']","['breit', 'schwer']",1,2.3846138999797404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,97.56143100000918,,,,,,,,,,97.55304250004701,98.04346610000357,,,1,3.0150786999147385,,,,,,,,,,,,,,,,,,,,,98.04347630008124,104.04449309990741,Schlüssel,verspielt,"['Schlüssel', 'verspielt']",restudy,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']","['breit', 'schwer', 'verspielt']",1,3.0150786999147385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,104.05394580005668,,,,,,,,,,104.04502060008235,104.53587049990892,,,2,5.754049899987876,,,,,,,,,,,,,,,,,,,,,104.53588100010529,110.53782949992456,Telefon,rustikal,"['Telefon', 'rustikal']",restudy,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']","['breit', 'schwer', 'verspielt', 'rustikal']",2,5.754049899987876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,110.54729490005411,,,,,,,,,,110.53835569997318,111.02923019998707,,,1,2.957946800161153,,,,,,,,,,,,,,,,,,,,,111.0292410000693,117.03219410008751,Bürste,winzig,"['Bürste', 'winzig']",test_adj,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']","['breit', 'schwer', 'verspielt', 'rustikal', 'winzig']",1,2.957946800161153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,117.04166799993254,,,,,,,,,,117.03271659999155,117.52378930011764,,,2,5.51928610005416,,,,,,,,,,,,,,,,,,,,,117.5238000000827,123.53432479989715,Lampe,kurz,"['Lampe', 'kurz']",test_adj,3,"['Kette', 'Blume', 'Schlüssel', 'Telefon', 'Bürste', 'Lampe', 'Hammer', 'Kerze', 'Hut', 'Schere', 'Kiste', 'Socke', 'Jacke', 'Würfel', 'Stift', 'Rucksack', 'Kamera', 'Tasse', 'Flasche', 'Tasche', 'Ring', 'Uhr', 'Geige', 'Fahrrad', 'Vase', 'Brille', 'Buch', 'Löffel', 'Eimer', 'Trommel']","['breit', 'schwer', 'verspielt', 'rustikal', 'winzig', 'kurz']",2,5.51928610005416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_11h21.28.175,watkins1,2023.2.3,99.69115667321284,53,2023-12-07 11h21.40.590460 +0000,
