Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Hut', 'Jacke', 'Blume', 'Flasche', 'Geige', 'Kamera', 'Stift', 'Tasche', 'Löffel', 'Ring', 'Telefon', 'Bürste', 'Buch', 'Hammer', 'Lampe']","['Fahrrad', 'Schlüssel', 'Kiste', 'Kerze', 'Kette', 'Rucksack', 'Trommel', 'Eimer', 'Schere', 'Uhr', 'Tasse', 'Würfel', 'Socke', 'Brille', 'Vase']",0.11625680001452565,0.11632539983838797,0.11633350001648068,15.430761799681932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.43080999981612,39.87700330000371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,40.89053119998425,,,,,,,,,,39.877020000014454,40.88054469972849,47.38101859996095,47.87227559974417,41.37255309987813,47.380856399890035,1,0.8992531998082995,None,47.87228519981727,53.87558749970049,1,0.8992531998082995,None,53.875877100043,53.875899999868125,53.87590690003708,53.87598769972101,,1.747175000142306,None,53.87615259969607,54.36722020013258,54.36723189987242,60.37642539991066,Hund,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3765881001018,65.63791120005772,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,66.65163119975477,,,,,,,,,,65.6379284998402,66.64169010007754,66.6421471000649,67.13375600008294,,,1,1.5533775999210775,,,,,,,,,,,,,,,,,,,,,67.13376649981365,73.13706729980186,Kerze,neu,"['Kerze', 'neu']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']",['neu'],1,1.5533775999210775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,73.14652709988877,,,,,,,,,,,,73.13772189989686,73.62861989997327,,,1,1.0916003002785146,,,,,,,,,,,,,,,,,,,,,73.62863019993529,79.63208629982546,Uhr,zart,"['Uhr', 'zart']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart']",1,1.0916003002785146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,79.64153390005231,,,,,,,,,,,,79.63260870007798,80.12359570013359,,,2,1.4286024002358317,,,,,,,,,,,,,,,,,,,,,80.12360629998147,86.12438859976828,Kette,kratzig,"['Kette', 'kratzig']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig']",2,1.4286024002358317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,86.13394149998203,,,,,,,,,,,,86.12490649987012,86.61583789996803,,,3,1.2240287000313401,,,,,,,,,,,,,,,,,,,,,86.61584799969569,92.6210155999288,Flasche,schmutzig,"['Flasche', 'schmutzig']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig']",3,1.2240287000313401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,92.63047299999744,,,,,,,,,,,,92.62155409995466,93.11258439999074,,,1,1.9830920002423227,,,,,,,,,,,,,,,,,,,,,93.11259520007297,99.12029090011492,Stift,kaputt,"['Stift', 'kaputt']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt']",1,1.9830920002423227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,99.12986780004576,,,,,,,,,,,,99.12083789985627,99.61180120008066,,,3,1.3293965002521873,,,,,,,,,,,,,,,,,,,,,99.61181270005181,105.62092179991305,Tasche,groß,"['Tasche', 'groß']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß']",3,1.3293965002521873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,105.63039169972762,,,,,,,,,,,,105.62144719995558,106.11231719981879,,,1,1.0725786001421511,,,,,,,,,,,,,,,,,,,,,106.1123281000182,112.12249379977584,Lampe,lang,"['Lampe', 'lang']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang']",1,1.0725786001421511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,112.13195829978213,,,,,,,,,,,,112.12302469974384,112.61380779976025,,,3,1.0190202998928726,,,,,,,,,,,,,,,,,,,,,112.6138192997314,118.6237937998958,Hut,schlicht,"['Hut', 'schlicht']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht']",3,1.0190202998928726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,118.6332781999372,,,,,,,,,,,,118.62431140011176,119.11536169983447,,,1,1.6383313001133502,,,,,,,,,,,,,,,,,,,,,119.11537260003388,125.11917409999296,Tasse,flach,"['Tasse', 'flach']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach']",1,1.6383313001133502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,125.12863579997793,,,,,,,,,,,,125.11970350006595,125.61065369984135,,,2,1.509824899956584,,,,,,,,,,,,,,,,,,,,,125.61066349968314,131.61284029996023,Bürste,teuer,"['Bürste', 'teuer']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach', 'teuer']",2,1.509824899956584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,131.62223719991744,,,,,,,,,,,,131.61337930010632,132.1042716000229,,,1,1.152401499915868,,,,,,,,,,,,,,,,,,,,,132.104281200096,138.1102180001326,Schere,durchsichtig,"['Schere', 'durchsichtig']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach', 'teuer', 'durchsichtig']",1,1.152401499915868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,138.119617999997,,,,,,,,,,,,138.11074690008536,138.60169210005552,,,1,1.3030973002314568,,,,,,,,,,,,,,,,,,,,,138.60170290013775,144.60964069981128,Socke,winzig,"['Socke', 'winzig']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach', 'teuer', 'durchsichtig', 'winzig']",1,1.3030973002314568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,144.61911260010675,,,,,,,,,,,,144.61017110012472,145.10116240009665,,,1,1.3228350998833776,,,,,,,,,,,,,,,,,,,,,145.10117230005562,151.10297779971734,Löffel,hübsch,"['Löffel', 'hübsch']",restudy,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach', 'teuer', 'durchsichtig', 'winzig', 'hübsch']",1,1.3228350998833776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,151.11245690006763,,,,,,,,,,,,151.1034963997081,151.59450710006058,,,1,1.09355239989236,,,,,,,,,,,,,,,,,,,,,151.59451769990847,157.59899749979377,Rucksack,gestreift,"['Rucksack', 'gestreift']",test_sub,2,"['Kerze', 'Uhr', 'Kette', 'Flasche', 'Stift', 'Tasche', 'Lampe', 'Hut', 'Tasse', 'Bürste', 'Schere', 'Socke', 'Löffel', 'Rucksack', 'Fahrrad', 'Brille', 'Vase', 'Blume', 'Eimer', 'Jacke', 'Ring', 'Würfel', 'Geige', 'Hammer', 'Kamera', 'Telefon', 'Buch', 'Kiste', 'Schlüssel', 'Trommel']","['neu', 'zart', 'kratzig', 'schmutzig', 'kaputt', 'groß', 'lang', 'schlicht', 'flach', 'teuer', 'durchsichtig', 'winzig', 'hübsch', 'gestreift']",1,1.09355239989236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_10h38.43.188,watkins1,2023.2.3,99.77301654065228,55,2023-12-11 10h39.15.148904 +0000,
