Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,scale_answer_4.rt,scale_answer_4.duration,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_6.rt,scale_answer_6.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12007980002090335,0.12016450008377433,0.1201728000305593,10.320433600107208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.320483500137925,55.26797390007414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,56.28167170006782,,,,,,,,55.26799070020206,56.271739500109106,62.765671000117436,63.256968199973926,56.76389870001003,62.765481300186366,2,3.0540841999463737,None,63.256979800062254,69.26586170005612,2,3.0540841999463737,None,69.26615500007756,69.26617870014161,69.26618580007926,69.26626810012385,,None,None,69.26642930018716,69.2664506000001,69.26645750016905,69.2665298001375,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.26664150017314,77.14591520000249,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,78.15943920006976,,,,,,,,77.14593140012585,78.14945570006967,78.1498970000539,78.64150010002777,,,3,2.0073045000899583,,,,,,,,,,,,,,,,,,,,,78.64151159999892,84.64247329998761,Stift,neu,"['Stift', 'neu']",control,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']",['neu'],3,2.0073045000899583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,84.65185650018975,,,,,,,,,,84.64307730016299,85.13401310006157,,,1,4.141297399997711,,,,,,,,,,,,,,,,,,,,,85.1340236000251,91.14230270008557,Blume,schlicht,"['Blume', 'schlicht']",control,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']","['neu', 'schlicht']",1,4.141297399997711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,91.15169800003059,,,,,,,,,,91.14277290017344,91.63379600015469,,,1,2.3133598999120295,,,,,,,,,,,,,,,,,,,,,91.6338071001228,97.6404444000218,Vase,kratzig,"['Vase', 'kratzig']",restudy_diff,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']","['neu', 'schlicht', 'kratzig']",1,2.3133598999120295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,97.64986560004763,,,,,,,,,,97.64092770009302,98.13284970005043,,,2,3.1441897999029607,,,,,,,,,,,,,,,,,,,,,98.13286020001397,104.1348963000346,Kiste,matt,"['Kiste', 'matt']",restudy_diff,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']","['neu', 'schlicht', 'kratzig', 'matt']",2,3.1441897999029607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,104.14442800008692,,,,,,,,,,104.13538060011342,104.62657229998149,,,3,5.5863385000266135,,,,,,,,,,,,,,,,,,,,,104.62658350006677,110.62971790018491,Flasche,nass,"['Flasche', 'nass']",restudy_diff,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']","['neu', 'schlicht', 'kratzig', 'matt', 'nass']",3,5.5863385000266135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,110.63913480006158,,,,,,,,,,110.6301951999776,111.12121880007908,,,3,1.3947751000523567,,,,,,,,,,,,,,,,,,,,,111.12122920015827,117.12960860016756,Lampe,bunt,"['Lampe', 'bunt']",control,1,"['Stift', 'Blume', 'Vase', 'Kiste', 'Flasche', 'Lampe', 'Tasche', 'Uhr', 'Kette', 'Würfel', 'Jacke', 'Geige', 'Tasse', 'Hammer', 'Brille', 'Hut', 'Kerze', 'Socke', 'Fahrrad', 'Trommel', 'Bürste', 'Schlüssel']","['neu', 'schlicht', 'kratzig', 'matt', 'nass', 'bunt']",3,1.3947751000523567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-04_08h35.12.146,watkins1,2023.2.3,99.700698684139,37,2023-12-04 08h35.20.601926 +0000,
