Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,122.23711389990058,,,,,,,,,,122.22816909989342,122.71917679999024,,,2,2.372160799917765,,,,,,,,,,,,,,,,,,,122.71918729995377,128.72894289996475,Kette,flach,"['Kette', 'flach']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach']",2,2.372160799917765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,128.73842899990268,,,,,,,,,,128.7294640999753,129.22049909993075,,,2,2.1575934999855235,,,,,,,,,,,,,,,,,,,129.22051049990114,135.22686609998345,Rucksack,groß,"['Rucksack', 'groß']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß']",2,2.1575934999855235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,135.2363438999746,,,,,,,,,,135.22738689999096,135.71852709993254,,,2,2.0518890999956056,,,,,,,,,,,,,,,,,,,135.7185382999014,141.72878689994104,Schlüssel,verspielt,"['Schlüssel', 'verspielt']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt']",2,2.0518890999956056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,141.73825309996027,,,,,,,,,,141.72931099997368,142.22039739997126,,,2,3.518429199932143,,,,,,,,,,,,,,,,,,,142.22040699992795,148.2305320999585,Vase,matt,"['Vase', 'matt']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt']",2,3.518429199932143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,148.23995139996987,,,,,,,,,,148.23105379997287,148.7218598999316,,,2,2.7610762999393046,,,,,,,,,,,,,,,,,,,148.72187049989589,154.72404279990587,Hut,neu,"['Hut', 'neu']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu']",2,2.7610762999393046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,154.73350919992663,,,,,,,,,,154.724566699937,155.2154326000018,,,3,3.1470590999815613,,,,,,,,,,,,,,,,,,,155.21544239996,161.2214862999972,Jacke,nass,"['Jacke', 'nass']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu', 'nass']",3,3.1470590999815613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,161.23102199996356,,,,,,,,,,161.22200639999937,161.713163599954,,,3,2.2015950999921188,,,,,,,,,,,,,,,,,,,161.71317399991676,167.71976139990147,Flasche,nachhaltig,"['Flasche', 'nachhaltig']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu', 'nass', 'nachhaltig']",3,2.2015950999921188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,167.72923529997934,,,,,,,,,,167.72028739994857,168.21108409995213,,,2,1.7115642999997362,,,,,,,,,,,,,,,,,,,168.211095299921,174.21756119991187,Kamera,glatt,"['Kamera', 'glatt']",restudy,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu', 'nass', 'nachhaltig', 'glatt']",2,1.7115642999997362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,174.22703809989616,,,,,,,,,,174.21808329992928,174.70902459998615,,,2,1.70984230004251,,,,,,,,,,,,,,,,,,,174.70903519995045,180.71914369997103,Eimer,breit,"['Eimer', 'breit']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu', 'nass', 'nachhaltig', 'glatt', 'breit']",2,1.70984230004251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,180.72863159992266,,,,,,,,,,180.71967299992684,181.2106207999168,,,2,1.8563283999683335,,,,,,,,,,,,,,,,,,,181.21063029998913,187.21671139996033,Telefon,rustikal,"['Telefon', 'rustikal']",test_adj,3,"['Kerze', 'Schere', 'Löffel', 'Buch', 'Tasse', 'Tasche', 'Kette', 'Rucksack', 'Schlüssel', 'Vase', 'Hut', 'Jacke', 'Flasche', 'Kamera', 'Eimer', 'Telefon', 'Uhr', 'Hammer', 'Kiste', 'Trommel', 'Ring', 'Würfel', 'Geige', 'Blume', 'Brille', 'Bürste', 'Fahrrad', 'Lampe', 'Socke', 'Stift']","['robust', 'schwer', 'sportlich', 'kurz', 'hohl', 'dick', 'flach', 'groß', 'verspielt', 'matt', 'neu', 'nass', 'nachhaltig', 'glatt', 'breit', 'rustikal']",2,1.8563283999683335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-11-21_10h05.06.768,watkins1,2023.2.3,99.72983182532572,2,2023-11-21 10h05.13.337165 +0000,
