Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,correct,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11446220008656383,0.11452720011584461,0.11453559994697571,5.548825700068846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.548874400090426,49.704928500112146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,50.71850570011884,,,,,,,,49.70494580012746,50.70853230007924,57.20160010014661,57.692959000123665,51.20045190001838,57.20143879996613,1,2.705003400100395,None,57.69296979997307,63.70271790004335,1,2.705003400100395,None,63.70301289996132,64.19418540014885,64.19419650011696,70.19838399998844,vergnügt,None,None,70.19863420003094,70.1986567999702,70.19866370013915,70.1987427000422,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.19885940011591,75.38077330007218,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,76.39438610011712,,,,,,,,75.38078960007988,76.3844113999512,76.38486780016683,76.87647020001896,,,3,1.8928300999104977,,,,,,,,,,,,,,,,,,,,,76.87648109998554,82.88510880013928,Buch,praktisch,"['Buch', 'praktisch']",test_adj,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']",['praktisch'],3,1.8928300999104977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,82.89449440012686,,,,,,,,,,82.88576239999384,83.37653010012582,,,2,2.523188699968159,,,,,,,,,,,,,,,,,,,,,83.37654129997827,89.37999689998105,Bürste,dunkel,"['Bürste', 'dunkel']",test_adj,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']","['praktisch', 'dunkel']",2,2.523188699968159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,89.38946179999039,,,,,,,,,,89.38052420015447,89.87157560000196,,,2,2.8593942001461983,,,,,,,,,,,,,,,,,,,,,89.87158689997159,95.876253800001,Löffel,schlicht,"['Löffel', 'schlicht']",test_adj,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']","['praktisch', 'dunkel', 'schlicht']",2,2.8593942001461983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,95.88565540011041,,,,,,,,,,95.87680039997213,96.36781450011767,,,3,1.7310256001073867,,,,,,,,,,,,,,,,,,,,,96.36782509996556,102.3715649000369,Kiste,groß,"['Kiste', 'groß']",restudy,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']","['praktisch', 'dunkel', 'schlicht', 'groß']",3,1.7310256001073867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,102.3810533999931,,,,,,,,,,102.37210989999585,102.86303080013022,,,1,2.53270830004476,,,,,,,,,,,,,,,,,,,,,102.86304159997962,108.86367100011557,Hammer,krumm,"['Hammer', 'krumm']",test_adj,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']","['praktisch', 'dunkel', 'schlicht', 'groß', 'krumm']",1,2.53270830004476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,108.8732509999536,,,,,,,,,,108.86420379998162,109.35522260004655,,,1,3.1760523999109864,,,,,,,,,,,,,,,,,,,,,109.35523320012726,115.35868129995652,Flasche,hässlich,"['Flasche', 'hässlich']",restudy,3,"['Buch', 'Bürste', 'Löffel', 'Kiste', 'Hammer', 'Flasche', 'Kamera', 'Tasse', 'Tasche', 'Würfel', 'Jacke', 'Socke', 'Lampe', 'Schlüssel', 'Trommel', 'Brille', 'Blume', 'Geige', 'Schere', 'Uhr', 'Stift', 'Fahrrad', 'Rucksack', 'Vase', 'Kette', 'Hut', 'Telefon', 'Ring', 'Kerze', 'Eimer']","['praktisch', 'dunkel', 'schlicht', 'groß', 'krumm', 'hässlich']",1,3.1760523999109864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-05_14h32.20.961,watkins1,2023.2.3,99.77002997908971,45,2023-12-05 14h32.28.124911 +0000,
