Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,142.77733630000148,,,,,,,,,,,,142.76842529990245,143.25946689990815,,,2,4.795930000022054,,,,,,,,,,,,,,,,,,,,,143.25947749998886,149.26137789990753,Lampe,rustikal,"['Lampe', 'rustikal']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal']",2,4.795930000022054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,149.27080359996762,,,,,,,,,,,,149.26189859991428,149.7528720999835,,,1,1.7982037999900058,,,,,,,,,,,,,,,,,,,,,149.75288249994628,155.755358699942,Löffel,zart,"['Löffel', 'zart']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart']",1,1.7982037999900058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,155.76478949992452,,,,,,,,,,,,155.75588279997464,156.246866799891,,,2,5.480066299904138,,,,,,,,,,,,,,,,,,,,,156.24687729997095,162.25131989992224,Ring,flach,"['Ring', 'flach']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach']",2,5.480066299904138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,162.26079879992176,,,,,,,,,,,,162.25184359995183,162.74285259994213,,,2,3.1450602000113577,,,,,,,,,,,,,,,,,,,,,162.74286319990642,168.75328209996223,Rucksack,schmutzig,"['Rucksack', 'schmutzig']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig']",2,3.1450602000113577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,168.7628151999088,,,,,,,,,,,,168.7538127999287,169.24481359997299,,,1,3.4350679999915883,,,,,,,,,,,,,,,,,,,,,169.24482409993652,175.2513375999406,Telefon,durchsichtig,"['Telefon', 'durchsichtig']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig']",1,3.4350679999915883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,175.2608079999918,,,,,,,,,,,,175.25185959995724,175.74280809995253,,,1,2.0574179000686854,,,,,,,,,,,,,,,,,,,,,175.7428189999191,181.7529429999413,Tasche,gestreift,"['Tasche', 'gestreift']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig', 'gestreift']",1,2.0574179000686854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,181.7623556999024,,,,,,,,,,,,181.75347289990168,182.2443930999143,,,3,3.8263579999329522,,,,,,,,,,,,,,,,,,,,,182.24440359999426,188.24682699993718,Würfel,gepunktet,"['Würfel', 'gepunktet']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig', 'gestreift', 'gepunktet']",3,3.8263579999329522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,188.25626759999432,,,,,,,,,,,,188.247352699982,188.738363499986,,,1,2.4698826000094414,,,,,,,,,,,,,,,,,,,,,188.7383743999526,194.74249629990663,Bürste,kurz,"['Bürste', 'kurz']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig', 'gestreift', 'gepunktet', 'kurz']",1,2.4698826000094414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,194.75188659993,,,,,,,,,,,,194.7430231999606,195.2339136999799,,,1,3.0208154000574723,,,,,,,,,,,,,,,,,,,,,195.2339242999442,201.24306699994486,Uhr,verspielt,"['Uhr', 'verspielt']",test_sub,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig', 'gestreift', 'gepunktet', 'kurz', 'verspielt']",1,3.0208154000574723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,201.25249749992508,,,,,,,,,,,,201.24359639990143,201.73443149996456,,,1,2.4976628000149503,,,,,,,,,,,,,,,,,,,,,201.73444209992886,207.744423899916,Fahrrad,matt,"['Fahrrad', 'matt']",restudy,2,"['Socke', 'Schere', 'Trommel', 'Kerze', 'Flasche', 'Buch', 'Lampe', 'Löffel', 'Ring', 'Rucksack', 'Telefon', 'Tasche', 'Würfel', 'Bürste', 'Uhr', 'Fahrrad', 'Hammer', 'Jacke', 'Vase', 'Eimer', 'Hut', 'Schlüssel', 'Stift', 'Kamera', 'Brille', 'Geige', 'Tasse', 'Kette', 'Blume', 'Kiste']","['glatt', 'klobig', 'glänzend', 'biegsam', 'kratzig', 'kaputt', 'rustikal', 'zart', 'flach', 'schmutzig', 'durchsichtig', 'gestreift', 'gepunktet', 'kurz', 'verspielt', 'matt']",1,2.4976628000149503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-11-22_13h03.28.318,watkins1,2023.2.3,99.82122025094071,5,2023-11-22 13h03.39.890667 +0000,
