Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,scale_answer_6.rt,scale_answer_6.duration,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_4.rt,scale_answer_4.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09991620015352964,0.09998150006867945,0.0999899001326412,7.5884779000189155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5885264000389725,48.45774370012805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,49.471425800118595,,,,,,,,48.457761000143364,49.461442600004375,55.955987700028345,56.44738160003908,49.95352250011638,55.95582490018569,2,2.0273427001666278,None,56.44739230000414,62.456903300015256,2,2.0273427001666278,None,62.45722210011445,62.45724610006437,62.457253200002015,62.45733560016379,,None,None,62.457502300152555,62.45752280019224,62.45752980001271,62.45760480011813,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.45772020006552,68.80000170017593,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,69.81360980006866,,,,,,,,68.80001810006797,69.8035742000211,69.80403210013174,70.29564770008437,,,1,2.1707222999539226,,,,,,,,,,,,,,,,,,,,,70.29565820004791,76.29875549999997,Löffel,dunkel,"['Löffel', 'dunkel']",control,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']",['dunkel'],1,2.1707222999539226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,76.30834330013022,,,,,,,,,,76.29935760004446,76.79036610014737,,,2,2.2639881998766214,,,,,,,,,,,,,,,,,,,,,76.79037640010938,82.79924140009098,Brille,elegant,"['Brille', 'elegant']",restudy_diff,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']","['dunkel', 'elegant']",2,2.2639881998766214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,82.80870719999075,,,,,,,,,,82.79970120009966,83.29100199998356,,,1,1.6356614001560956,,,,,,,,,,,,,,,,,,,,,83.29101220006123,89.29589970014058,Blume,gepunktet,"['Blume', 'gepunktet']",restudy_diff,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']","['dunkel', 'elegant', 'gepunktet']",1,1.6356614001560956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,89.3053377000615,,,,,,,,,,89.2963793000672,89.78743969998322,,,2,2.1073151000309736,,,,,,,,,,,,,,,,,,,,,89.78745070006698,95.79609289998189,Schere,nachhaltig,"['Schere', 'nachhaltig']",restudy_diff,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']","['dunkel', 'elegant', 'gepunktet', 'nachhaltig']",2,2.1073151000309736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,95.80555480020121,,,,,,,,,,95.79658020008355,96.28856470016763,,,1,1.887036700034514,,,,,,,,,,,,,,,,,,,,,96.28857470001094,102.29233020008542,Stift,nass,"['Stift', 'nass']",control,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']","['dunkel', 'elegant', 'gepunktet', 'nachhaltig', 'nass']",1,1.887036700034514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,102.30179380020127,,,,,,,,,,102.29282240010798,102.78379000001587,,,3,1.5438255998305976,,,,,,,,,,,,,,,,,,,,,102.78380020009354,108.78483250015415,Tasse,praktisch,"['Tasse', 'praktisch']",restudy_diff,1,"['Löffel', 'Brille', 'Blume', 'Schere', 'Stift', 'Tasse', 'Telefon', 'Würfel', 'Kerze', 'Uhr', 'Jacke', 'Hammer', 'Geige', 'Socke', 'Lampe', 'Rucksack', 'Hut', 'Ring', 'Kiste', 'Tasche', 'Trommel', 'Kette']","['dunkel', 'elegant', 'gepunktet', 'nachhaltig', 'nass', 'praktisch']",3,1.5438255998305976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-11-29_12h55.08.042,watkins1,2023.2.3,99.7532106750154,31,2023-11-29 12h55.17.370613 +0000,
