Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,scale_answer_5.rt,scale_answer_5.duration,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,correct,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Kette', 'Uhr', 'Hammer', 'Hut', 'Eimer', 'Kamera', 'Vase', 'Rucksack', 'Geige', 'Telefon', 'Lampe', 'Tasse', 'Schlüssel', 'Tasche', 'Löffel']","['Blume', 'Würfel', 'Trommel', 'Jacke', 'Bürste', 'Stift', 'Flasche', 'Schere', 'Socke', 'Kiste', 'Fahrrad', 'Kerze', 'Brille', 'Ring', 'Buch']",0.10968889994546771,0.10975839989259839,0.10976650007069111,9.187426100019366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.187474200036377,10.868940200190991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11.882682799827307,,,,,,,,,,10.8689557001926,11.87270289985463,18.372403000015765,18.8637434002012,12.36460979981348,18.372239700052887,[],[],None,18.863753899931908,24.866305000148714,None,24.866453900001943,24.866476899944246,24.866483899764717,24.866631200071424,,3.173137799836695,5.462147099897265,24.866811899933964,25.357653399929404,25.3576652999036,31.36209570011124,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.362254899926484,43.283832400105894,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,44.29741510003805,,,,,,,,,,43.28384999977425,44.28743549995124,44.287899899762124,44.779381699860096,,,None,[],,,,,,,,,,,,,,,,,,,44.779391900170594,50.78462880011648,Telefon,zart,"['Telefon', 'zart']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']",['zart'],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,50.79408370004967,,,,,,,,,,,,50.785063799936324,51.2760466998443,,,3,1.1604081001132727,,,,,,,,,,,,,,,,,,,51.27605709992349,57.28024319978431,Uhr,flach,"['Uhr', 'flach']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach']",3,1.1604081001132727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,57.28984009986743,,,,,,,,,,,,57.280850399751216,57.771852700039744,,,2,2.2731453999876976,,,,,,,,,,,,,,,,,,,57.77186329988763,63.773741600103676,Tasche,blass,"['Tasche', 'blass']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass']",2,2.2731453999876976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,63.783206399995834,,,,,,,,,,,,63.77427370008081,64.26518899993971,,,3,1.8999457000754774,,,,,,,,,,,,,,,,,,,64.26519919978455,70.27379949996248,Trommel,elegant,"['Trommel', 'elegant']",test_sub,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant']",3,1.8999457000754774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,70.28333179978654,,,,,,,,,,,,70.27434259979054,70.7653224999085,,,1,1.8869575997814536,,,,,,,,,,,,,,,,,,,70.76533329999074,76.76691940007731,Kette,verspielt,"['Kette', 'verspielt']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt']",1,1.8869575997814536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,76.77639009989798,,,,,,,,,,,,76.76745510008186,77.25836209999397,,,3,1.7224808000028133,,,,,,,,,,,,,,,,,,,77.25837180018425,83.25998590001836,Geige,glatt,"['Geige', 'glatt']",restudy,2,"['Telefon', 'Uhr', 'Tasche', 'Trommel', 'Kette', 'Geige', 'Buch', 'Kiste', 'Ring', 'Vase', 'Stift', 'Kamera', 'Blume', 'Brille', 'Eimer', 'Hut', 'Hammer', 'Bürste', 'Fahrrad', 'Würfel', 'Schlüssel', 'Lampe', 'Schere', 'Socke', 'Jacke', 'Rucksack', 'Tasse', 'Löffel', 'Kerze', 'Flasche']","['zart', 'flach', 'blass', 'elegant', 'verspielt', 'glatt']",3,1.7224808000028133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-12-11_13h35.59.746,watkins1,2023.2.3,99.77689892077603,58,2023-12-11 13h36.06.638189 +0000,
