Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,correct,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,115.05737199999567,,,,,,,,,,115.0483968999979,115.53938429999835,,,1,2.6123051999966265,,,,,,,,,,,,,,,,,,,,,115.53939499999979,121.54230459999962,Brille,dunkel,"['Brille', 'dunkel']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel']",1,2.6123051999966265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,121.5518271999972,,,,,,,,,,121.54282539999986,122.0336862999975,,,1,1.7744915000002948,,,,,,,,,,,,,,,,,,,,,122.03369679999741,128.04385299999558,Vase,biegsam,"['Vase', 'biegsam']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam']",1,1.7744915000002948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,128.05337549999967,,,,,,,,,,128.0443726999947,128.53537419999338,,,1,1.312602899997728,,,,,,,,,,,,,,,,,,,,,128.5353846999933,134.53654939999979,Socke,verspielt,"['Socke', 'verspielt']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt']",1,1.312602899997728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,134.5459916999971,,,,,,,,,,134.53706819999934,135.02812289999565,,,1,5.0441461999944295,,,,,,,,,,,,,,,,,,,,,135.0281332999948,141.0375758999944,Ring,praktisch,"['Ring', 'praktisch']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch']",1,5.0441461999944295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,141.04704939999647,,,,,,,,,,141.03809369999362,141.5291184999951,,,1,3.5186223999990034,,,,,,,,,,,,,,,,,,,,,141.52912919999653,147.53231169999344,Jacke,sauber,"['Jacke', 'sauber']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber']",1,3.5186223999990034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,147.54182539999601,,,,,,,,,,147.532833499994,148.02346369999577,,,1,1.9212221999987378,,,,,,,,,,,,,,,,,,,,,148.0234746999995,154.03293439999834,Bürste,matt,"['Bürste', 'matt']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber', 'matt']",1,1.9212221999987378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,154.04241409999668,,,,,,,,,,154.0334589999984,154.52442849999352,,,1,1.707676199999696,,,,,,,,,,,,,,,,,,,,,154.52443889999995,160.53051479999704,Schlüssel,schwer,"['Schlüssel', 'schwer']",restudy,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber', 'matt', 'schwer']",1,1.707676199999696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,160.54002309999487,,,,,,,,,,160.53102989999752,161.022023599995,,,1,2.9146156999995583,,,,,,,,,,,,,,,,,,,,,161.02203429999645,167.03194039999653,Rucksack,klobig,"['Rucksack', 'klobig']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber', 'matt', 'schwer', 'klobig']",1,2.9146156999995583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,167.04137399999308,,,,,,,,,,167.03247129999363,167.52340749999712,,,1,4.413250500001595,,,,,,,,,,,,,,,,,,,,,167.523417599994,173.5333124999961,Trommel,rustikal,"['Trommel', 'rustikal']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber', 'matt', 'schwer', 'klobig', 'rustikal']",1,4.413250500001595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,173.5428111999936,,,,,,,,,,173.53384249999363,174.02484179999738,,,1,1.439920800003165,,,,,,,,,,,,,,,,,,,,,174.024851999995,180.03471369999897,Fahrrad,strahlend,"['Fahrrad', 'strahlend']",test_adj,3,"['Hammer', 'Telefon', 'Kamera', 'Flasche', 'Stift', 'Hut', 'Brille', 'Vase', 'Socke', 'Ring', 'Jacke', 'Bürste', 'Schlüssel', 'Rucksack', 'Trommel', 'Fahrrad', 'Uhr', 'Tasse', 'Würfel', 'Tasche', 'Kette', 'Schere', 'Kiste', 'Löffel', 'Eimer', 'Blume', 'Kerze', 'Lampe', 'Buch', 'Geige']","['kalt', 'robust', 'kratzig', 'gestreift', 'glatt', 'hohl', 'dunkel', 'biegsam', 'verspielt', 'praktisch', 'sauber', 'matt', 'schwer', 'klobig', 'rustikal', 'strahlend']",1,1.439920800003165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-14_10h06.36.798,watkins1,2023.2.3,99.71600880799461,64,2023-12-14 10h06.44.044473 +0000,
