Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,list_sub_restudy,list_sub_testsub,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,correct,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Jacke', 'Lampe', 'Löffel', 'Rucksack', 'Flasche', 'Würfel', 'Schere', 'Buch', 'Hammer', 'Schlüssel', 'Vase', 'Trommel', 'Brille', 'Kette', 'Stift']","['Bürste', 'Kerze', 'Telefon', 'Eimer', 'Geige', 'Socke', 'Kiste', 'Blume', 'Ring', 'Uhr', 'Tasse', 'Fahrrad', 'Tasche', 'Kamera', 'Hut']",0.15129279997199774,0.15136130014434457,0.15136989997699857,3.508794399909675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5088456999510527,59.4717549001798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,60.4852780001238,,,,,,,,,,59.471773699857295,60.475240299943835,66.9741906998679,67.46543730003759,60.96705480013043,66.97402670001611,2,1.9430110002867877,None,67.46544880000874,73.46794239990413,2,1.9430110002867877,None,73.46824089996517,73.4682658999227,73.46827349998057,73.4683576002717,,1.6765371998772025,None,73.46852270001546,73.9597726999782,73.95978499995545,79.96439079986885,hund,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.96454499987885,85.79742870014161,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,86.81084090005606,,,,,,,,,,85.7974458001554,86.8009039000608,86.8014310002327,87.29287549993023,,,1,2.8948985999450088,,,,,,,,,,,,,,,,,,,,,87.29288659989834,93.30102030001581,Lampe,schmutzig,"['Lampe', 'schmutzig']",restudy,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']",['schmutzig'],1,2.8948985999450088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,93.31054159998894,,,,,,,,,,,,93.30167079996318,93.79251920012757,,,1,2.652875700034201,,,,,,,,,,,,,,,,,,,,,93.79253040021285,99.79409660026431,Tasse,flach,"['Tasse', 'flach']",test_sub,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']","['schmutzig', 'flach']",1,2.652875700034201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,99.80354390013963,,,,,,,,,,,,99.79463989986107,100.28566819988191,,,1,2.7846259996294975,,,,,,,,,,,,,,,,,,,,,100.2856792001985,106.28661159984767,Schlüssel,hohl,"['Schlüssel', 'hohl']",restudy,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']","['schmutzig', 'flach', 'hohl']",1,2.7846259996294975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,106.29597999993712,,,,,,,,,,,,106.28714250028133,106.77837119996548,,,3,2.5317597999237478,,,,,,,,,,,,,,,,,,,,,106.77838189993054,112.78510250011459,Kerze,teuer,"['Kerze', 'teuer']",test_sub,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']","['schmutzig', 'flach', 'hohl', 'teuer']",3,2.5317597999237478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,112.79456990025938,,,,,,,,,,,,112.78563020005822,113.27675900002941,,,2,1.9297218997962773,,,,,,,,,,,,,,,,,,,,,113.2767702001147,119.27919630007818,Hammer,schlicht,"['Hammer', 'schlicht']",restudy,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']","['schmutzig', 'flach', 'hohl', 'teuer', 'schlicht']",2,1.9297218997962773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,119.2887190002948,,,,,,,,,,,,119.27973149996251,119.7706837002188,,,1,2.963294600136578,,,,,,,,,,,,,,,,,,,,,119.77069489983842,125.77676000026986,Rucksack,glatt,"['Rucksack', 'glatt']",restudy,2,"['Lampe', 'Tasse', 'Schlüssel', 'Kerze', 'Hammer', 'Rucksack', 'Stift', 'Löffel', 'Telefon', 'Fahrrad', 'Trommel', 'Buch', 'Schere', 'Bürste', 'Socke', 'Vase', 'Kiste', 'Geige', 'Würfel', 'Tasche', 'Ring', 'Flasche', 'Uhr', 'Brille', 'Hut', 'Blume', 'Kamera', 'Eimer', 'Jacke', 'Kette']","['schmutzig', 'flach', 'hohl', 'teuer', 'schlicht', 'glatt']",1,2.963294600136578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2024-01-09_12h44.18.247,watkins1,2023.2.3,99.73311391974083,78,2024-01-09 12h44.29.372484 +0000,
