Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,correct,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_5.rt,scale_answer_5.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1166622000746429,0.11672970000654459,0.11673790006898344,8.952971899881959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.953020700020716,65.61390540003777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,66.62751889997162,,,,,,,,65.61392439994961,66.61754689994268,73.11132490006275,73.60274309990928,67.10958210006356,73.11115540005267,2,1.5305643999017775,None,73.60275429999456,79.61173760006204,2,1.5305643999017775,None,79.61203640000895,80.10325649986044,80.1032674999442,86.1093327999115,vergnügt,None,None,86.10956209991127,86.10958569985814,86.10959280002862,86.10967879998498,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.10979859996587,92.28528269985691,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,93.29917829995975,,,,,,,,92.2853000999894,93.2892686999403,93.28979409998283,93.78122949996032,,,1,2.1883737000171095,,,,,,,,,,,,,,,,,,,,,93.78124130005017,99.78973659989424,Uhr,blass,"['Uhr', 'blass']",test_adj,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']",['blass'],1,2.1883737000171095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,99.79921599989757,,,,,,,,,,99.7904070999939,100.28114510001615,,,1,1.777160899946466,,,,,,,,,,,,,,,,,,,,,100.28115599998273,106.28343499987386,Rucksack,kratzig,"['Rucksack', 'kratzig']",restudy,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']","['blass', 'kratzig']",1,1.777160899946466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,106.29301599995233,,,,,,,,,,106.28397340001538,106.77513489988633,,,2,2.4442513999529183,,,,,,,,,,,,,,,,,,,,,106.77514569996856,112.78447610000148,Tasse,teuer,"['Tasse', 'teuer']",restudy,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']","['blass', 'kratzig', 'teuer']",2,2.4442513999529183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,112.79394209990278,,,,,,,,,,112.7850094998721,113.27593669993803,,,1,1.8784368999768049,,,,,,,,,,,,,,,,,,,,,113.27594750002027,119.28398180007935,Telefon,sportlich,"['Telefon', 'sportlich']",test_adj,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']","['blass', 'kratzig', 'teuer', 'sportlich']",1,1.8784368999768049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,119.29341070004739,,,,,,,,,,119.28450950002298,119.77562689990737,,,2,2.635644600028172,,,,,,,,,,,,,,,,,,,,,119.77571379998699,125.78516949992627,Socke,klobig,"['Socke', 'klobig']",restudy,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']","['blass', 'kratzig', 'teuer', 'sportlich', 'klobig']",2,2.635644600028172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,125.79465439985506,,,,,,,,,,125.78570830007084,126.27679009991698,,,3,2.469934199936688,,,,,,,,,,,,,,,,,,,,,126.27680079988204,132.28096730005927,Löffel,lustig,"['Löffel', 'lustig']",test_adj,3,"['Uhr', 'Rucksack', 'Tasse', 'Telefon', 'Socke', 'Löffel', 'Hut', 'Fahrrad', 'Schlüssel', 'Kerze', 'Vase', 'Blume', 'Brille', 'Lampe', 'Würfel', 'Eimer', 'Kiste', 'Buch', 'Ring', 'Schere', 'Kamera', 'Geige', 'Jacke', 'Trommel', 'Kette', 'Flasche', 'Tasche', 'Hammer', 'Stift', 'Bürste']","['blass', 'kratzig', 'teuer', 'sportlich', 'klobig', 'lustig']",3,2.469934199936688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-12-07_10h34.24.348,watkins1,2023.2.3,99.75410613730513,52,2023-12-07 10h34.30.914276 +0000,
