Equation,CorrectResponse,Correctbutton,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,code_marius.started,code_marius.stopped,welcome.started,welcome.stopped,instruction_study.started,instruction_study.stopped,fixationcross.started,fixationcross.stopped,blanc.started,blanc.stopped,study_control_probe.started,study_control_probe.stopped,responseKey,responseTime,scale_answer_2.keys,study_control_probe_2.started,study_control_probe_2.stopped,scale_answer_3.keys,scale_answer_3.rt,scale_answer_3.duration,blanc_2.started,blanc_2.stopped,test_attr_probe.started,test_attr_probe.stopped,recalled_attr,firstKeyTime,secondWordTime,blanc_3.started,blanc_3.stopped,test_sub_probe.started,test_sub_probe.stopped,recalled_sub,instruction_probe_end.started,instruction_probe_end.stopped,study.started,study.stopped,substantive,adjective,wordpair,task,condition,liste_sub_phase1,liste_adj_phase1,scale_answer.keys,scale_answer.rt,scale_answer.duration,code_defineWordsInit.started,code_defineWordsInit.stopped,liste_sub_phase2,study_control.started,study_control.stopped,scale_answer_4.keys,scale_answer_4.rt,scale_answer_4.duration,restudy_same.started,restudy_same.stopped,scale_answer_5.keys,restudy_different.started,restudy_different.stopped,scale_answer_6.keys,test_attr.started,test_attr.stopped,test_sub.started,test_sub.stopped,scale_answer_6.rt,scale_answer_6.duration,distractortask.started,equation_text.started,distractortask.stopped,mouse_answer.x,mouse_answer.y,mouse_answer.leftButton,mouse_answer.midButton,mouse_answer.rightButton,mouse_answer.time,mouse_answer.clicked_name,feedback_distractortask.started,feedback_distractortask.stopped,free_recall.started,text_enter.started,key_resp.started,free_recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,free_recalled_sub,mouse_continue.x,mouse_continue.y,mouse_continue.leftButton,mouse_continue.midButton,mouse_continue.rightButton,mouse_continue.time,mouse_continue.clicked_name,cued_recall.started,text_enter_2.started,correct,key_continue.started,cued_recall.stopped,recalled_attr1,key_continue.keys,key_continue.rt,key_continue.duration,cued_recall_2.started,text_enter_3.started,key_continue_2.started,cued_recall_2.stopped,recalled_attr2,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,condition,date,expName,psychopyVersion,frameRate,participant,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12022530002286658,0.12029479996999726,0.12030289997346699,111.45830980001483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4583592999843,143.63840320002055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,144.6524304000195,,,,,,,,143.6384203999769,144.64244480000343,151.1406549999956,151.63178880000487,145.13448639999842,151.14049129997147,1,1.993902700021863,None,151.63179919996765,157.64095339999767,1,1.993902700021863,None,157.64125510002486,157.64128049998544,157.64128789998358,157.64136950002285,,None,None,157.6415382999694,157.6415590000106,157.6415657000034,157.64163859997643,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.64175419998355,164.1938678000006,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,165.20729120000033,,,,,,,,164.1938843000098,165.19733629998518,165.19777670002077,165.6892768999678,,,1,1.809899799991399,,,,,,,,,,,,,,,,,,,,,165.68928709998727,171.69774630002212,Socke,kalt,"['Socke', 'kalt']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']",['kalt'],1,1.809899799991399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,171.70717840001453,,,,,,,,,,171.69844429998193,172.18923690001247,,,2,2.57648720004363,,,,,,,,,,,,,,,,,,,,,172.18924749997677,178.19942750001792,Lampe,krumm,"['Lampe', 'krumm']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']","['kalt', 'krumm']",2,2.57648720004363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,178.20885489997454,,,,,,,,,,178.19989589997567,178.69113579997793,,,1,2.0432839000131935,,,,,,,,,,,,,,,,,,,,,178.69114640000043,184.69331090000924,Hut,klobig,"['Hut', 'klobig']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']","['kalt', 'krumm', 'klobig']",1,2.0432839000131935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,184.7027444000123,,,,,,,,,,184.6937868000241,185.1848100000061,,,1,2.5979046000284143,,,,,,,,,,,,,,,,,,,,,185.18482029996812,191.19166800001403,Stift,sauber,"['Stift', 'sauber']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']","['kalt', 'krumm', 'klobig', 'sauber']",1,2.5979046000284143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,191.20111399999587,,,,,,,,,,191.192150900024,191.68315489997622,,,2,2.1002333000069484,,,,,,,,,,,,,,,,,,,,,191.68316519999644,197.6841319000232,Eimer,gut,"['Eimer', 'gut']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']","['kalt', 'krumm', 'klobig', 'sauber', 'gut']",2,2.1002333000069484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,197.69358020002255,,,,,,,,,,197.6846196000115,198.17573680001078,,,2,2.9672581999911927,,,,,,,,,,,,,,,,,,,,,198.17574719997356,204.17691689997446,Tasse,elegant,"['Tasse', 'elegant']",restudy_diff,1,"['Socke', 'Lampe', 'Hut', 'Stift', 'Eimer', 'Tasse', 'Kiste', 'Kette', 'Schere', 'Löffel', 'Tasche', 'Blume', 'Trommel', 'Hammer', 'Brille', 'Ring', 'Vase', 'Uhr', 'Schlüssel', 'Buch', 'Flasche', 'Fahrrad']","['kalt', 'krumm', 'klobig', 'sauber', 'gut', 'elegant']",2,2.9672581999911927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-12-18_11h35.31.687,watkins1,2023.2.3,99.65390205429243,68,2023-12-18 11h35.39.516943 +0000,
