subject_nr,blocknr,trialnr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1,vis_option_6_resp,vis_option_5_resp,vis_option_4_resp,vis_option_3_resp,vis_option_2_resp,vis_option_1_resp,time_gesehen_form,time_trial_logger
58,1,36,cs15.bmp,neg,100,9265.jpg,1000,maske_12.bmp,500,maske_4.bmp,900,cs9.bmp,cs2.bmp,cs15.bmp,cs3.bmp,cs18.bmp,cs29.bmp,no,no,yes,no,no,no,260519,262444
58,1,37,cs16.bmp,neg,30,9290.jpg,1000,maske_3.bmp,500,maske_10.bmp,970,cs16.bmp,cs15.bmp,cs19.bmp,cs13.bmp,cs3.bmp,cs18.bmp,no,no,no,no,no,yes,264907,267599
58,1,38,cs8.bmp,neu,900,7503.JPG,1000,maske_3.bmp,500,maske_1.bmp,100,7080.jpg,7820.jpg,7640.jpg,7490.jpg,7503.JPG,7090.jpg,no,no,no,no,yes,no,270061,271117
58,1,39,cs20.bmp,neu,100,7640.jpg,1000,maske_2.bmp,500,maske_6.bmp,900,7640.jpg,7080.jpg,2372.jpg,1935.jpg,7000.jpg,3550.2.jpg,no,no,no,yes,no,no,273579,277808
58,1,40,cs22.bmp,neg,30,9430.JPG,1000,maske_11.bmp,500,maske_12.bmp,970,cs11.bmp,cs13.bmp,cs9.bmp,cs16.bmp,cs2.bmp,cs22.bmp,no,no,no,no,yes,no,280284,283100
58,1,41,cs10.bmp,neu,30,1121.jpg,1000,maske_3.bmp,500,maske_5.bmp,970,1121.jpg,7080.jpg,7090.jpg,5740.jpg,7000.jpg,1935.jpg,yes,no,no,no,no,no,285567,286649
58,1,42,cs29.bmp,neg,30,9415.jpg,1000,maske_11.bmp,500,maske_10.bmp,970,cs16.bmp,cs3.bmp,cs11.bmp,cs7.bmp,cs29.bmp,cs18.bmp,no,yes,no,no,no,no,289108,292250
58,1,43,cs14.bmp,pos,900,1463.jpg,1000,maske_1.bmp,500,maske_9.bmp,100,cs17.bmp,cs26.bmp,cs28.bmp,cs30.bmp,cs14.bmp,cs23.bmp,no,no,no,no,yes,no,294720,297273
58,1,44,cs22.bmp,neg,30,9041.jpg,1000,maske_8.bmp,500,maske_6.bmp,970,cs3.bmp,cs22.bmp,cs15.bmp,cs11.bmp,cs7.bmp,cs16.bmp,no,yes,no,no,no,no,299743,302307
58,1,45,cs23.bmp,pos,900,2216.jpg,1000,maske_11.bmp,500,maske_8.bmp,100,cs25.bmp,cs23.bmp,cs14.bmp,cs4.bmp,cs27.bmp,cs30.bmp,no,yes,no,no,no,no,304768,306060
58,1,46,cs30.bmp,pos,30,2209.jpg,1000,maske_10.bmp,500,maske_5.bmp,970,cs28.bmp,cs23.bmp,cs30.bmp,cs6.bmp,cs12.bmp,cs14.bmp,no,no,no,yes,no,no,308520,309902
58,1,47,cs11.bmp,neg,30,9435.jpg,1000,maske_8.bmp,500,maske_2.bmp,970,cs7.bmp,cs16.bmp,cs9.bmp,cs2.bmp,cs11.bmp,cs19.bmp,no,no,no,no,no,yes,312367,314203
58,1,48,cs4.bmp,pos,30,1460.JPG,1000,maske_9.bmp,500,maske_6.bmp,970,cs14.bmp,cs4.bmp,cs25.bmp,cs23.bmp,cs28.bmp,cs27.bmp,no,no,no,no,yes,no,316684,318483
58,1,49,cs11.bmp,neg,30,9520.JPG,1000,maske_12.bmp,500,maske_8.bmp,970,cs18.bmp,cs3.bmp,cs19.bmp,cs22.bmp,cs15.bmp,cs11.bmp,yes,no,no,no,no,no,320956,322471
58,1,50,cs29.bmp,neg,30,2750.jpg,1000,maske_3.bmp,500,maske_10.bmp,970,cs9.bmp,cs13.bmp,cs29.bmp,cs18.bmp,cs2.bmp,cs7.bmp,no,no,no,no,no,yes,324932,326703
58,1,51,cs3.bmp,neg,30,9290.jpg,1000,maske_10.bmp,500,maske_1.bmp,970,cs29.bmp,cs11.bmp,cs3.bmp,cs15.bmp,cs19.bmp,cs13.bmp,no,no,no,yes,no,no,329179,330884
58,1,52,cs26.bmp,pos,100,2345.jpg,1000,maske_11.bmp,500,maske_5.bmp,900,cs12.bmp,cs30.bmp,cs26.bmp,cs6.bmp,cs1.bmp,cs28.bmp,no,no,yes,no,no,no,333356,335180
58,1,53,cs10.bmp,neu,30,7187.jpg,1000,maske_1.bmp,500,maske_3.bmp,970,8211.jpg,1616.jpg,5920.JPG,7187.jpg,2487.jpg,5740.jpg,no,no,no,yes,no,no,337650,338524
58,1,54,cs27.bmp,pos,100,2150.JPG,1000,maske_8.bmp,500,maske_6.bmp,900,cs14.bmp,cs28.bmp,cs12.bmp,cs30.bmp,cs6.bmp,cs27.bmp,no,no,no,no,no,yes,340992,342236
58,1,55,cs2.bmp,neg,30,9430.JPG,1000,maske_2.bmp,500,maske_10.bmp,970,cs11.bmp,cs13.bmp,cs2.bmp,cs7.bmp,cs22.bmp,cs3.bmp,no,no,no,no,yes,no,344709,346501
58,2,56,cs23.bmp,pos,900,5910.JPG,1000,maske_4.bmp,500,maske_2.bmp,100,cs30.bmp,cs12.bmp,cs28.bmp,cs4.bmp,cs25.bmp,cs23.bmp,no,no,no,no,no,yes,359098,360250
58,2,57,cs18.bmp,neg,30,9290.jpg,1000,maske_8.bmp,500,maske_2.bmp,970,cs19.bmp,cs18.bmp,cs29.bmp,cs11.bmp,cs22.bmp,cs15.bmp,no,no,no,no,no,yes,363003,364558
58,2,58,cs26.bmp,pos,100,2345.jpg,1000,maske_11.bmp,500,maske_5.bmp,900,cs12.bmp,cs30.bmp,cs26.bmp,cs6.bmp,cs1.bmp,cs28.bmp,no,no,yes,no,no,no,367027,368358
58,2,59,cs29.bmp,neg,30,2750.jpg,1000,maske_3.bmp,500,maske_10.bmp,970,cs9.bmp,cs13.bmp,cs29.bmp,cs18.bmp,cs2.bmp,cs7.bmp,no,no,no,no,no,yes,370861,373304
58,2,60,cs2.bmp,neg,30,9430.JPG,1000,maske_2.bmp,500,maske_10.bmp,970,cs11.bmp,cs13.bmp,cs2.bmp,cs7.bmp,cs22.bmp,cs3.bmp,yes,no,no,no,no,no,375768,377462
58,2,61,cs1.bmp,pos,30,7330.JPG,1000,maske_5.bmp,500,maske_1.bmp,970,cs26.bmp,cs23.bmp,cs28.bmp,cs27.bmp,cs30.bmp,cs1.bmp,no,no,no,no,yes,no,379921,380815
58,2,62,cs24.bmp,neu,900,7080.jpg,1000,maske_1.bmp,500,maske_3.bmp,100,5740.jpg,7080.jpg,1313.jpg,8211.jpg,2372.jpg,2620.jpg,no,yes,no,no,no,no,383274,384712
58,2,63,cs11.bmp,neg,30,9520.JPG,1000,maske_12.bmp,500,maske_8.bmp,970,cs18.bmp,cs3.bmp,cs19.bmp,cs22.bmp,cs15.bmp,cs11.bmp,no,no,no,no,yes,no,387179,388298
58,2,64,cs11.bmp,neg,30,9435.jpg,1000,maske_8.bmp,500,maske_2.bmp,970,cs7.bmp,cs16.bmp,cs9.bmp,cs2.bmp,cs11.bmp,cs19.bmp,no,no,yes,no,no,no,390757,392078
58,2,65,cs21.bmp,neu,30,1935.jpg,1000,maske_1.bmp,500,maske_7.bmp,970,2372.jpg,1616.jpg,1935.jpg,5920.JPG,2220.jpg,7004.jpg,no,no,yes,no,no,no,394545,396146
58,2,66,cs29.bmp,neg,30,9415.jpg,1000,maske_11.bmp,500,maske_10.bmp,970,cs16.bmp,cs3.bmp,cs11.bmp,cs7.bmp,cs29.bmp,cs18.bmp,yes,no,no,no,no,no,398662,400434
58,2,67,cs28.bmp,pos,30,2345.jpg,1000,maske_8.bmp,500,maske_5.bmp,970,cs12.bmp,cs1.bmp,cs28.bmp,cs25.bmp,cs6.bmp,cs30.bmp,no,no,no,no,no,yes,403074,404872
58,2,68,cs3.bmp,neg,30,9290.jpg,1000,maske_10.bmp,500,maske_1.bmp,970,cs29.bmp,cs11.bmp,cs3.bmp,cs15.bmp,cs19.bmp,cs13.bmp,no,no,no,yes,no,no,407392,408697
58,2,69,cs16.bmp,neg,30,9290.jpg,1000,maske_3.bmp,500,maske_10.bmp,970,cs16.bmp,cs15.bmp,cs19.bmp,cs13.bmp,cs3.bmp,cs18.bmp,no,yes,no,no,no,no,411157,413675
58,2,70,cs15.bmp,neg,100,9265.jpg,1000,maske_12.bmp,500,maske_4.bmp,900,cs9.bmp,cs2.bmp,cs15.bmp,cs3.bmp,cs18.bmp,cs29.bmp,no,no,yes,no,no,no,416157,417843
58,2,71,cs13.bmp,neg,100,9830.jpg,1000,maske_2.bmp,500,maske_7.bmp,900,cs18.bmp,cs22.bmp,cs11.bmp,cs13.bmp,cs15.bmp,cs2.bmp,no,no,no,yes,no,no,420298,422208
58,2,72,cs3.bmp,neg,30,9007.jpg,1000,maske_11.bmp,500,maske_4.bmp,970,cs15.bmp,cs16.bmp,cs11.bmp,cs19.bmp,cs22.bmp,cs3.bmp,no,no,no,no,no,yes,424675,426262
58,2,73,cs14.bmp,pos,900,2091.jpg,1000,maske_6.bmp,500,maske_2.bmp,100,cs30.bmp,cs25.bmp,cs1.bmp,cs6.bmp,cs12.bmp,cs14.bmp,no,no,no,no,no,yes,428722,430410
58,2,74,cs22.bmp,neg,30,9430.JPG,1000,maske_11.bmp,500,maske_12.bmp,970,cs11.bmp,cs13.bmp,cs9.bmp,cs16.bmp,cs2.bmp,cs22.bmp,no,yes,no,no,no,no,432875,434485
58,2,75,cs4.bmp,pos,30,2071.jpg,1000,maske_7.bmp,500,maske_2.bmp,970,cs4.bmp,cs1.bmp,cs30.bmp,cs27.bmp,cs12.bmp,cs26.bmp,no,no,yes,no,no,no,436945,438467
58,2,76,cs21.bmp,neu,30,7004.jpg,1000,maske_9.bmp,500,maske_4.bmp,970,1313.jpg,7004.jpg,1121.jpg,1616.jpg,5395.jpg,4631.JPG,no,yes,no,no,no,no,440933,441847
58,2,77,cs23.bmp,pos,900,2216.jpg,1000,maske_11.bmp,500,maske_8.bmp,100,cs25.bmp,cs23.bmp,cs14.bmp,cs4.bmp,cs27.bmp,cs30.bmp,no,yes,no,no,no,no,444370,446192
58,2,78,cs27.bmp,pos,100,4626.jpg,1000,maske_8.bmp,500,maske_5.bmp,900,cs25.bmp,cs4.bmp,cs27.bmp,cs30.bmp,cs28.bmp,cs6.bmp,no,no,yes,no,no,no,448652,449615
