subject_nr,condition,count_ratings_sequence,cs_filename_rating,us_valenz,cs_type,cs_duration,eval_rating,time_ratings_form,time_ratings_delay
26,2,0,nw18.bmp,neg,word,60,9,4626777,4637065
26,2,1,cs11.bmp,pos,prod,50,8,4637750,4643904
26,2,2,nw11.bmp,neg,word,100,7,4644544,4647695
26,2,3,nw13.bmp,pos,word,50,8,4648333,4652900
26,2,4,cs4.bmp,neg,prod,90,12,4653543,4657867
26,2,5,cs15.bmp,pos,prod,60,5,4658503,4661820
26,2,6,nw3.bmp,pos,word,70,12,4662463,4667116
26,2,7,nw14.bmp,neg,word,70,8,4667753,4671232
26,2,8,nw22.bmp,pos,word,100,9,4671890,4677018
26,2,9,nw4.bmp,pos,word,30,9,4677653,4680046
26,2,10,cs10.bmp,pos,prod,70,7,4680683,4687468
26,2,11,nw20.bmp,neg,word,40,9,4688103,4693713
26,2,12,cs1.bmp,pos,prod,90,8,4694353,4697272
26,2,13,cs5.bmp,pos,prod,30,11,4697913,4702673
26,2,14,cs24.bmp,pos,prod,100,10,4703319,4708661
26,2,15,cs17.bmp,neg,prod,60,10,4709302,4715058
26,2,16,M16_.bmp,neg,face,30,11,4715693,4719913
26,2,17,Mneu24_.bmp,neg,face,50,13,4720552,4724365
26,2,18,M14.bmp,neg,face,90,12,4725002,4728025
26,2,19,Mneu11_.bmp,pos,face,80,14,4728663,4732849
26,2,20,cs28.bmp,neg,prod,100,2,4733494,4737541
26,2,21,nw28.bmp,pos,word,60,7,4738182,4742249
26,2,22,cs22.bmp,pos,prod,80,11,4742890,4749428
26,2,23,W02.bmp,neg,face,80,14,4750072,4753141
26,2,24,PM04.bmp,pos,face,30,12,4753781,4756736
26,2,25,M02_.bmp,neg,face,70,7,4757371,4761267
26,2,26,Mneu18_.bmp,neg,face,60,8,4761909,4765983
26,2,27,nw7.bmp,neg,word,30,9,4766622,4769264
26,2,28,nw9.bmp,pos,word,90,9,4769901,4775782
26,2,29,Wneu03_.bmp,neg,face,100,10,4776421,4779051
26,2,30,nw2.bmp,pos,word,80,9,4779691,4782081
26,2,31,cs8.bmp,neg,prod,50,7,4782722,4786618
26,2,32,Mneu01_.bmp,pos,face,100,10,4787260,4789911
26,2,33,cs21.bmp,pos,prod,40,10,4790551,4796927
26,2,34,cs29.bmp,neg,prod,80,7,4797570,4800214
26,2,35,nw30.bmp,neg,word,90,9,4800851,4803434
26,2,36,nw21.bmp,neg,word,50,9,4804071,4806405
26,2,37,nw26.bmp,neg,word,80,9,4807041,4809244
26,2,38,W07.bmp,pos,face,40,8,4809888,4812713
26,2,39,nw6.bmp,pos,word,40,9,4813350,4816544
26,2,40,Mneu05_.bmp,pos,face,50,6,4817180,4820005
26,2,41,Wneu02_.bmp,pos,face,60,6,4820641,4828033
26,2,42,W16.bmp,pos,face,90,10,4828670,4831215
26,2,43,cs9.bmp,neg,prod,70,7,4831850,4835209
26,2,44,cs30.bmp,neg,prod,30,16,4835852,4839021
26,2,45,W12.bmp,neg,face,40,11,4839660,4842694
26,2,46,cs6.bmp,neg,prod,40,8,4843330,4847153
26,2,47,Mneu20_.bmp,pos,face,70,9,4847809,4850158
