ECOsub7 [12-2013]
  4   1
 27   2   1   1 SINOLOGIE
Stimuli
StimNr, wort, istwort, uspositiv
 78             cs22.bmp   0   1  15  22  17  13  13   6  19  16  21  10 
 79             cs30.bmp   0   1  13   5   4  16  13  21   6   7   3  19 
 80          cs16neu.bmp   0   1   2  12   5  11   5   9   1  10   7  21 
 81              cs5.bmp   0   1  20  16   1   3  16   9  17  22   8  13 
 82             cs27.bmp   0   1  14  21  14   1  14  18  16  17   8   3 
 83              cs4.bmp   0   1   9   3   3  10   3   6  22  20  13   4 
 84             cs11.bmp   0   1   6   6   9  23   6   4   8  21  11   2 
 85             cs18.bmp   0  -1   0   0   0   0  15  12  17  18   2  23 
 86             cs10.bmp   0  -1   0   0   0   0  14  12   8   1  18   3 
 87             cs17.bmp   0  -1   0   0   0   0   9  12  11   6  18   7 
 88              cs3.bmp   0  -1   0   0   0   0   9   3  17   1  22   7 
 89             cs29.bmp   0  -1   0   0   0   0  21  20  17   9  10  23 
 90              cs9.bmp   0  -1   0   0   0   0  17  21   1   8   3   6 
Trials [1-72][4 Blöcke]
BlockNr, TrialNr, wort, uspositiv, cs_duration, us 
  1   1               polust    0   0   8 
  1   2              kumutoa    0   0   6 
  1   3               raggun    0   0  20 
  1   4              baigbur    0   0   4 
  1   5               gowann    0   1   7 
  1   6              ompfing    0   1  16 
  1   7              plistuk    0   1  15 
  1   8               novuui    0   1  21 
  1   9              faloilo    0   2   0 
  1  10               orsutz    0   2  12 
  1  11               doscho    0   2   9 
  1  12               offukt    0   2  13 
  1  13              godacht    1   0  13 
  1  14               plonim    1   0  15 
  1  15              stodeen    1   0   2 
  1  16              emkruas    1   0   8 
  1  17              oesgubi    1   1  21 
  1  18              fanstur    1   1   3 
  1  19               uhnong    1   1  22 
  1  20               kibono    1   1  19 
  1  21               virlog    1   2   7 
  1  22               zefill    1   2   5 
  1  23              misukor    1   2  11 
  1  24              kantikt    1   2   1 
  1  25              W02.bmp    0   0   2 
  1  26              M13.bmp    0   0   1 
  1  27              W16.bmp    0   0  17 
  1  28          Wneu05_.bmp    0   0  14 
  1  29              W07.bmp    0   1  23 
  1  30             M02_.bmp    0   1   5 
  1  31              M18.bmp    0   1  11 
  1  32          Mneu24_.bmp    0   1  10 
  1  33          Wneu03_.bmp    0   2   3 
  1  34          Mneu01_.bmp    0   2  19 
  1  35              M14.bmp    0   2  22 
  1  36              M07.bmp    0   2  18 
  1  37              W15.bmp    1   0  16 
  1  38             M16_.bmp    1   0   0 
  1  39          Mneu05_.bmp    1   0   6 
  1  40              M12.bmp    1   0  20 
  1  41              W12.bmp    1   1   4 
  1  42          Wneu02_.bmp    1   1  17 
  1  43          Mneu25_.bmp    1   1  23 
  1  44              W04.bmp    1   1  12 
  1  45          Mneu18_.bmp    1   2  10 
  1  46              W03.bmp    1   2  18 
  1  47          Wneu01_.bmp    1   2   9 
  1  48          Mneu04_.bmp    1   2  14 
  1  49              cs6.bmp    0   0  10 
  1  50             cs24.bmp    0   0  13 
  1  51           cs7neu.bmp    0   0  11 
  1  52              cs1.bmp    0   0  12 
  1  53             cs19.bmp    0   1   6 
  1  54             cs25.bmp    0   1  15 
  1  55             cs28.bmp    0   1   8 
  1  56             cs15.bmp    0   1  20 
  1  57             cs12.bmp    0   2   7 
  1  58             cs26.bmp    0   2  18 
  1  59              cs8.bmp    0   2   2 
  1  60             cs14.bmp    0   2   9 
  1  61              cs2.bmp    1   0  11 
  1  62             cs20.bmp    1   0   0 
  1  63             cs23.bmp    1   0   1 
  1  64             cs21.bmp    1   0  17 
  1  65             cs13.bmp    1   1   5 
  1  66             cs22.bmp    1   1  15 
  1  67             cs30.bmp    1   1  13 
  1  68          cs16neu.bmp    1   1   2 
  1  69              cs5.bmp    1   2  20 
  1  70             cs27.bmp    1   2  14 
  1  71              cs4.bmp    1   2   9 
  1  72             cs11.bmp    1   2   6 
  2   1               polust    0   0   3 
  2   2              kumutoa    0   0  23 
  2   3               raggun    0   0   4 
  2   4              baigbur    0   0  21 
  2   5               gowann    0   1   0 
  2   6              ompfing    0   1  22 
  2   7              plistuk    0   1  14 
  2   8               novuui    0   1  19 
  2   9              faloilo    0   2   5 
  2  10               orsutz    0   2  16 
  2  11               doscho    0   2  17 
  2  12               offukt    0   2   1 
  2  13              godacht    1   0   7 
  2  14               plonim    1   0  10 
  2  15              stodeen    1   0   3 
  2  16              emkruas    1   0  22 
  2  17              oesgubi    1   1  23 
  2  18              fanstur    1   1  16 
  2  19               uhnong    1   1  21 
  2  20               kibono    1   1  12 
  2  21               virlog    1   2   4 
  2  22               zefill    1   2  19 
  2  23              misukor    1   2  18 
  2  24              kantikt    1   2   8 
  2  25              W02.bmp    0   0   5 
  2  26              M13.bmp    0   0  18 
  2  27              W16.bmp    0   0  12 
  2  28          Wneu05_.bmp    0   0  22 
  2  29              W07.bmp    0   1  21 
  2  30             M02_.bmp    0   1   2 
  2  31              M18.bmp    0   1  16 
  2  32          Mneu24_.bmp    0   1  15 
  2  33          Wneu03_.bmp    0   2  17 
  2  34          Mneu01_.bmp    0   2  23 
  2  35              M14.bmp    0   2   7 
  2  36              M07.bmp    0   2   6 
  2  37              W15.bmp    1   0  11 
  2  38             M16_.bmp    1   0   0 
  2  39          Mneu05_.bmp    1   0   9 
  2  40              M12.bmp    1   0   7 
  2  41              W12.bmp    1   1  18 
  2  42          Wneu02_.bmp    1   1   1 
  2  43          Mneu25_.bmp    1   1  13 
  2  44              W04.bmp    1   1   4 
  2  45          Mneu18_.bmp    1   2  17 
  2  46              W03.bmp    1   2   8 
  2  47          Wneu01_.bmp    1   2  19 
  2  48          Mneu04_.bmp    1   2  10 
  2  49              cs6.bmp    0   0  14 
  2  50             cs24.bmp    0   0  19 
  2  51           cs7neu.bmp    0   0  11 
  2  52              cs1.bmp    0   0  10 
  2  53             cs19.bmp    0   1  20 
  2  54             cs25.bmp    0   1   3 
  2  55             cs28.bmp    0   1   8 
  2  56             cs15.bmp    0   1  13 
  2  57             cs12.bmp    0   2   0 
  2  58             cs26.bmp    0   2   1 
  2  59              cs8.bmp    0   2   9 
  2  60             cs14.bmp    0   2   4 
  2  61              cs2.bmp    1   0  14 
  2  62             cs20.bmp    1   0  15 
  2  63             cs23.bmp    1   0   2 
  2  64             cs21.bmp    1   0  23 
  2  65             cs13.bmp    1   1  20 
  2  66             cs22.bmp    1   1  22 
  2  67             cs30.bmp    1   1   5 
  2  68          cs16neu.bmp    1   1  12 
  2  69              cs5.bmp    1   2  16 
  2  70             cs27.bmp    1   2  21 
  2  71              cs4.bmp    1   2   3 
  2  72             cs11.bmp    1   2   6 
  3   1               polust    0   0  14 
  3   2              kumutoa    0   0  13 
  3   3               raggun    0   0  11 
  3   4              baigbur    0   0   7 
  3   5               gowann    0   1   8 
  3   6              ompfing    0   1   1 
  3   7              plistuk    0   1  15 
  3   8               novuui    0   1  10 
  3   9              faloilo    0   2  20 
  3  10               orsutz    0   2  12 
  3  11               doscho    0   2   3 
  3  12               offukt    0   2  19 
  3  13              godacht    1   0  14 
  3  14               plonim    1   0  15 
  3  15              stodeen    1   0  12 
  3  16              emkruas    1   0  11 
  3  17              oesgubi    1   1  18 
  3  18              fanstur    1   1   7 
  3  19               uhnong    1   1  17 
  3  20               kibono    1   1   3 
  3  21               virlog    1   2  20 
