ECOsub7 [12-2013]
 31   1
 28   2   1   1 PSCHYLOGIE
Stimuli
StimNr, wort, istwort, uspositiv
  1              godacht   1   0   5   2  11  16  11   7  23  19   6  22 
  2              fehrrid   1   0  17   3  22  17   3  19   7  13  11  20 
  3              kumutoa   1   0  10  20   9   1   9  16   3  19  12  13 
  4               offukt   1   0  19  11  16  15  11  20  23  12  18  22 
  5              fanstur   1   0  16  14   7   6  14  19   2  12  10  13 
  6               doscho   1   0   7  12  17   2  12  21   9  10  22   6 
  7              emkruas   1   0   3  23   4  19   3  11  16  22   1  20 
  8               kibono   1   0  13  15   6  13  13  12   0  11  10  14 
  9               gowann   1   0   1  10   1   0   1   9  11  18  12  14 
 10               banzon   1   0  18   4   5  12   4   3  23  16   9  14 
 11               muoror   1   0  20  18   2   4   2   5  23   3   1   7 
 12               plonim   1   0   2   5  21  10   5   6  15   4  12  13 
 13               novuui   1   1  13  20  15  12  12   0   4   3   1  11 
 14              misukor   1   1   6  22  18  19   6  16  17  12  10   7 
 15               virlog   1   1   3   3  11  14  14   5   0   1  10  19 
 16               ikzunt   1   1  22   2  21   4  22   3   0  14  17   5 
 17              baigbur   1   1  10   5  23  23   5  11  14   7   4  12 
 18               zefill   1   1  18  15  12   0  15   5   3  10  21  22 
 19              plistuk   1   1   2  18  19   5   2  10  22   9  15  20 
 20              sebjukt   1   1   1  17   8  22  22   4  18  23  14   3 
 21               uhnong   1   1  19  13   9  13  13  22  21   4   7  11 
 22               polust   1   1  21  19   2  20   2  11  18  16   1  17 
 23              faloilo   1   1  20  23  17   2   2  14   0  16  13   7 
 24              ompfing   1   1  23  11   1  18   1   9  15  12   6  16 
 25              oesgubi   1  -1   0   0   0   0   6  19   5  14  18  17 
 26              kantikt   1  -1   0   0   0   0  19   9  17   6  15  20 
 27               raggun   1  -1   0   0   0   0   1   6   2   8   9   5 
 28              trupfan   1  -1   0   0   0   0  17   3   1  10  20  21 
 29               orsutz   1  -1   0   0   0   0   2  22  19  20   3   9 
 30              stodeen   1  -1   0   0   0   0  14   2   5   1  18  20 
