phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
globalexpectancy,629,eval_first,global,3.png,extinction,neutral,0,0,0
globalexpectancy,629,eval_first,global,11.png,extinction,neutral,0,0,0
globalexpectancy,629,eval_first,global,23.png,extinction,neutral,2,2,2
globalexpectancy,629,eval_first,global,14.png,extinction,positive,5,5,4
globalexpectancy,629,eval_first,global,20.png,neutral,extinction,1,1,1
globalexpectancy,629,eval_first,global,9.png,extinction,negative,10,2,2
globalexpectancy,629,eval_first,global,5.png,extinction,positive,2,3,3
globalexpectancy,629,eval_first,global,18.png,positive,extinction,1,10,1
globalexpectancy,629,eval_first,global,17.png,positive,extinction,4,4,5
globalexpectancy,629,eval_first,global,8.png,negative,extinction,1,1,7
globalexpectancy,629,eval_first,global,26.png,positive,extinction,0,1,6
globalexpectancy,629,eval_first,global,4.png,extinction,negative,10,0,0
globalexpectancy,629,eval_first,global,21.png,extinction,negative,3,3,7
globalexpectancy,629,eval_first,global,1.png,negative,extinction,1,1,10
globalexpectancy,629,eval_first,global,24.png,neutral,extinction,1,1,1
globalexpectancy,629,eval_first,global,10.png,negative,extinction,10,10,0
globalexpectancy,629,eval_first,global,12.png,extinction,positive,0,0,0
globalexpectancy,629,eval_first,global,7.png,neutral,extinction,0,0,10
