phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,493,expect_first,global,20.png,extinction,positive,2
globalratings,493,expect_first,global,21.png,extinction,neutral,2
globalratings,493,expect_first,global,5.png,positive,extinction,10
globalratings,493,expect_first,global,8.png,neutral,extinction,15
globalratings,493,expect_first,global,24.png,neutral,extinction,13
globalratings,493,expect_first,global,10.png,extinction,neutral,12
globalratings,493,expect_first,global,26.png,extinction,negative,5
globalratings,493,expect_first,global,11.png,extinction,positive,10
globalratings,493,expect_first,global,7.png,negative,extinction,16
globalratings,493,expect_first,global,17.png,negative,extinction,17
globalratings,493,expect_first,global,3.png,extinction,negative,11
globalratings,493,expect_first,global,12.png,extinction,positive,13
globalratings,493,expect_first,global,23.png,extinction,neutral,15
globalratings,493,expect_first,global,4.png,positive,extinction,18
globalratings,493,expect_first,global,1.png,negative,extinction,18
globalratings,493,expect_first,global,14.png,extinction,negative,14
globalratings,493,expect_first,global,9.png,positive,extinction,16
globalratings,493,expect_first,global,18.png,neutral,extinction,7
