phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,376,eval_first,global,10.png,extinction,neutral,9
globalratings,376,eval_first,global,3.png,extinction,neutral,11
globalratings,376,eval_first,global,18.png,extinction,positive,13
globalratings,376,eval_first,global,9.png,extinction,negative,8
globalratings,376,eval_first,global,4.png,neutral,extinction,15
globalratings,376,eval_first,global,7.png,extinction,positive,15
globalratings,376,eval_first,global,12.png,positive,extinction,18
globalratings,376,eval_first,global,1.png,neutral,extinction,9
globalratings,376,eval_first,global,21.png,negative,extinction,18
globalratings,376,eval_first,global,17.png,extinction,negative,8
globalratings,376,eval_first,global,8.png,positive,extinction,4
globalratings,376,eval_first,global,14.png,extinction,positive,15
globalratings,376,eval_first,global,24.png,positive,extinction,16
globalratings,376,eval_first,global,11.png,extinction,neutral,8
globalratings,376,eval_first,global,20.png,neutral,extinction,15
globalratings,376,eval_first,global,23.png,negative,extinction,6
globalratings,376,eval_first,global,26.png,extinction,negative,0
globalratings,376,eval_first,global,5.png,negative,extinction,16
