phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,478,eval_first,global,1.png,extinction,negative,14
globalratings,478,eval_first,global,17.png,positive,extinction,7
globalratings,478,eval_first,global,23.png,positive,extinction,16
globalratings,478,eval_first,global,21.png,extinction,positive,5
globalratings,478,eval_first,global,3.png,extinction,negative,3
globalratings,478,eval_first,global,26.png,negative,extinction,0
globalratings,478,eval_first,global,4.png,positive,extinction,12
globalratings,478,eval_first,global,14.png,extinction,positive,6
globalratings,478,eval_first,global,20.png,negative,extinction,4
globalratings,478,eval_first,global,5.png,neutral,extinction,16
globalratings,478,eval_first,global,11.png,neutral,extinction,3
globalratings,478,eval_first,global,10.png,extinction,neutral,10
globalratings,478,eval_first,global,18.png,extinction,neutral,12
globalratings,478,eval_first,global,24.png,negative,extinction,6
globalratings,478,eval_first,global,8.png,neutral,extinction,15
globalratings,478,eval_first,global,7.png,extinction,neutral,18
globalratings,478,eval_first,global,12.png,extinction,positive,18
globalratings,478,eval_first,global,9.png,extinction,negative,14
