phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,589,expect_first,global,11.png,positive,extinction,15
globalratings,589,expect_first,global,10.png,negative,extinction,5
globalratings,589,expect_first,global,26.png,positive,extinction,0
globalratings,589,expect_first,global,12.png,extinction,neutral,14
globalratings,589,expect_first,global,9.png,extinction,neutral,13
globalratings,589,expect_first,global,20.png,neutral,extinction,14
globalratings,589,expect_first,global,3.png,neutral,extinction,18
globalratings,589,expect_first,global,23.png,extinction,positive,18
globalratings,589,expect_first,global,21.png,neutral,extinction,11
globalratings,589,expect_first,global,5.png,extinction,positive,14
globalratings,589,expect_first,global,1.png,extinction,negative,8
globalratings,589,expect_first,global,14.png,negative,extinction,16
globalratings,589,expect_first,global,4.png,extinction,neutral,12
globalratings,589,expect_first,global,18.png,extinction,negative,12
globalratings,589,expect_first,global,24.png,negative,extinction,2
globalratings,589,expect_first,global,8.png,extinction,positive,13
globalratings,589,expect_first,global,7.png,positive,extinction,18
globalratings,589,expect_first,global,17.png,extinction,negative,16
