phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,541,expect_first,global,7.png,negative,extinction,18
globalratings,541,expect_first,global,17.png,negative,extinction,18
globalratings,541,expect_first,global,21.png,negative,extinction,8
globalratings,541,expect_first,global,1.png,positive,extinction,18
globalratings,541,expect_first,global,24.png,extinction,negative,16
globalratings,541,expect_first,global,9.png,extinction,neutral,17
globalratings,541,expect_first,global,23.png,extinction,positive,17
globalratings,541,expect_first,global,20.png,extinction,negative,12
globalratings,541,expect_first,global,5.png,neutral,extinction,18
globalratings,541,expect_first,global,8.png,extinction,positive,17
globalratings,541,expect_first,global,4.png,extinction,neutral,18
globalratings,541,expect_first,global,14.png,extinction,positive,11
globalratings,541,expect_first,global,11.png,positive,extinction,2
globalratings,541,expect_first,global,3.png,neutral,extinction,18
globalratings,541,expect_first,global,12.png,extinction,neutral,18
globalratings,541,expect_first,global,10.png,extinction,negative,18
globalratings,541,expect_first,global,26.png,neutral,extinction,17
globalratings,541,expect_first,global,18.png,positive,extinction,16
