phase,subject_nr,dv_order,context,cs_filename,cs_type_1,cs_type_2,mensch_rating,tier_rating,gegenstand_rating
c2expectancy,459,expect_first,c2,14.png,negative,extinction,0,0,0
c2expectancy,459,expect_first,c2,10.png,extinction,negative,5,0,0
c2expectancy,459,expect_first,c2,7.png,neutral,extinction,0,0,0
c2expectancy,459,expect_first,c2,1.png,extinction,positive,0,7,0
c2expectancy,459,expect_first,c2,8.png,extinction,negative,5,0,0
c2expectancy,459,expect_first,c2,26.png,positive,extinction,0,5,0
c2expectancy,459,expect_first,c2,3.png,negative,extinction,0,0,0
c2expectancy,459,expect_first,c2,4.png,positive,extinction,0,0,0
c2expectancy,459,expect_first,c2,23.png,neutral,extinction,0,0,0
c2expectancy,459,expect_first,c2,17.png,extinction,negative,7,0,0
c2expectancy,459,expect_first,c2,12.png,extinction,neutral,0,0,7
c2expectancy,459,expect_first,c2,11.png,negative,extinction,0,0,0
c2expectancy,459,expect_first,c2,20.png,positive,extinction,0,0,0
c2expectancy,459,expect_first,c2,5.png,extinction,neutral,0,0,8
c2expectancy,459,expect_first,c2,21.png,neutral,extinction,0,0,0
c2expectancy,459,expect_first,c2,9.png,extinction,positive,0,6,0
c2expectancy,459,expect_first,c2,24.png,extinction,neutral,0,0,0
c2expectancy,459,expect_first,c2,18.png,extinction,positive,0,6,0
